# Offset (Hz)      Intensity       Uncertainty
  -1.200000e+05   -2.123892e+04    1.485042e+02
  -1.360000e+03   -6.743357e+03    1.485042e+02
  -1.330000e+03   -6.943003e+03    1.485042e+02
  -1.300000e+03   -6.673269e+03    1.485042e+02
  -1.270000e+03   -7.047074e+03    1.485042e+02
  -1.240000e+03   -7.098047e+03    1.485042e+02
  -1.210000e+03   -7.335923e+03    1.485042e+02
  -1.180000e+03   -7.078932e+03    1.485042e+02
  -1.150000e+03   -7.202118e+03    1.485042e+02
  -1.120000e+03   -7.036454e+03    1.485042e+02
  -1.090000e+03   -7.314684e+03    1.485042e+02
  -1.060000e+03   -6.715747e+03    1.485042e+02
  -1.030000e+03   -7.095923e+03    1.485042e+02
  -1.000000e+03   -7.117162e+03    1.485042e+02
  -9.700000e+02   -6.987605e+03    1.485042e+02
  -9.400000e+02   -7.040702e+03    1.485042e+02
  -9.100000e+02   -7.166012e+03    1.485042e+02
  -8.800000e+02   -7.327427e+03    1.485042e+02
  -8.500000e+02   -7.250967e+03    1.485042e+02
  -8.200000e+02   -6.936631e+03    1.485042e+02
  -7.900000e+02   -7.276454e+03    1.485042e+02
  -7.600000e+02   -6.881410e+03    1.485042e+02
  -7.300000e+02   -6.679640e+03    1.485042e+02
  -7.000000e+02   -6.828313e+03    1.485042e+02
  -6.700000e+02   -6.964242e+03    1.485042e+02
  -6.400000e+02   -6.658401e+03    1.485042e+02
  -6.100000e+02   -6.496986e+03    1.485042e+02
  -5.800000e+02   -6.038225e+03    1.485042e+02
  -5.500000e+02   -5.095217e+03    1.485042e+02
  -5.200000e+02   -4.050262e+03    1.485042e+02
  -4.900000e+02   -3.349378e+03    1.485042e+02
  -4.600000e+02   -4.198934e+03    1.485042e+02
  -4.300000e+02   -5.182296e+03    1.485042e+02
  -4.000000e+02   -5.927783e+03    1.485042e+02
  -3.700000e+02   -6.118933e+03    1.485042e+02
  -3.400000e+02   -6.095570e+03    1.485042e+02
  -3.100000e+02   -6.350437e+03    1.485042e+02
  -2.800000e+02   -6.367428e+03    1.485042e+02
  -2.500000e+02   -6.297340e+03    1.485042e+02
  -2.200000e+02   -6.023358e+03    1.485042e+02
  -1.900000e+02   -5.445659e+03    1.485042e+02
  -1.600000e+02   -4.517518e+03    1.485042e+02
  -1.300000e+02   -3.153980e+03    1.485042e+02
  -1.000000e+02   -1.573804e+03    1.485042e+02
  -7.000000e+01   -3.143360e+02    1.485042e+02
  -4.000000e+01    7.858400e+01    1.485042e+02
  -1.000000e+01   -7.709728e+02    1.485042e+02
   2.000000e+01   -2.778051e+03    1.485042e+02
   5.000000e+01   -4.502651e+03    1.485042e+02
   8.000000e+01   -5.638933e+03    1.485042e+02
   1.100000e+02   -5.842827e+03    1.485042e+02
   1.400000e+02   -6.473623e+03    1.485042e+02
   1.700000e+02   -6.649906e+03    1.485042e+02
   2.000000e+02   -6.528844e+03    1.485042e+02
   2.300000e+02   -6.696631e+03    1.485042e+02
   2.600000e+02   -6.796454e+03    1.485042e+02
   2.900000e+02   -6.573446e+03    1.485042e+02
   3.200000e+02   -6.798578e+03    1.485042e+02
   3.500000e+02   -6.962118e+03    1.485042e+02
   3.800000e+02   -6.896277e+03    1.485042e+02
   4.100000e+02   -6.781587e+03    1.485042e+02
   4.400000e+02   -6.993976e+03    1.485042e+02
   4.700000e+02   -6.976985e+03    1.485042e+02
   5.000000e+02   -7.025835e+03    1.485042e+02
   5.300000e+02   -7.019463e+03    1.485042e+02
   5.600000e+02   -6.826189e+03    1.485042e+02
   5.900000e+02   -7.193622e+03    1.485042e+02
   6.200000e+02   -6.913268e+03    1.485042e+02
   6.500000e+02   -6.866543e+03    1.485042e+02
   6.800000e+02   -7.040702e+03    1.485042e+02
   7.100000e+02   -6.974861e+03    1.485042e+02
   7.400000e+02   -6.881410e+03    1.485042e+02
   7.700000e+02   -7.061941e+03    1.485042e+02
   8.000000e+02   -7.068313e+03    1.485042e+02
   8.300000e+02   -6.951499e+03    1.485042e+02
   8.600000e+02   -6.860171e+03    1.485042e+02
   8.900000e+02   -7.312560e+03    1.485042e+02
   9.200000e+02   -6.775215e+03    1.485042e+02
   9.500000e+02   -6.860171e+03    1.485042e+02
   9.800000e+02   -7.127782e+03    1.485042e+02
   1.010000e+03   -6.770968e+03    1.485042e+02
   1.040000e+03   -6.989729e+03    1.485042e+02
   1.070000e+03   -6.962118e+03    1.485042e+02
   1.100000e+03   -6.902649e+03    1.485042e+02
   1.130000e+03   -6.919640e+03    1.485042e+02
   1.160000e+03   -6.819817e+03    1.485042e+02
   1.190000e+03   -6.756100e+03    1.485042e+02
   1.220000e+03   -7.053445e+03    1.485042e+02
   1.250000e+03   -6.798578e+03    1.485042e+02
   1.280000e+03   -7.076808e+03    1.485042e+02
   1.310000e+03   -6.951499e+03    1.485042e+02
   1.340000e+03   -6.845304e+03    1.485042e+02
   1.370000e+03   -6.804950e+03    1.485042e+02
   1.400000e+03   -7.178755e+03    1.485042e+02
   1.430000e+03   -7.314684e+03    1.485042e+02
   1.460000e+03   -6.989729e+03    1.485042e+02
   1.490000e+03   -6.993976e+03    1.485042e+02
   1.520000e+03   -6.728490e+03    1.485042e+02
   1.550000e+03   -6.928136e+03    1.485042e+02
   1.580000e+03   -6.641410e+03    1.485042e+02
   1.610000e+03   -6.830437e+03    1.485042e+02
   1.640000e+03   -6.649906e+03    1.485042e+02
