# Offset (Hz)  Intensity       Uncertainty
  -1.500e+05   -4.0502066e+02  1.6852017e+00
  -1.700e+03   -2.7088303e+02  1.5870381e+00
  -1.675e+03   -2.7264984e+02  1.5881096e+00
  -1.650e+03   -2.7216187e+02  1.5878130e+00
  -1.625e+03   -2.7192097e+02  1.5876668e+00
  -1.600e+03   -2.7184028e+02  1.5876178e+00
  -1.575e+03   -2.7080486e+02  1.5869908e+00
  -1.550e+03   -2.7265569e+02  1.5881132e+00
  -1.525e+03   -2.7306300e+02  1.5883611e+00
  -1.500e+03   -2.7205940e+02  1.5877508e+00
  -1.475e+03   -2.7280829e+02  1.5882060e+00
  -1.450e+03   -2.6978407e+02  1.5863747e+00
  -1.425e+03   -2.7196720e+02  1.5876949e+00
  -1.400e+03   -2.7176311e+02  1.5875710e+00
  -1.375e+03   -2.7069832e+02  1.5869264e+00
  -1.350e+03   -2.7069619e+02  1.5869251e+00
  -1.325e+03   -2.6960452e+02  1.5862666e+00
  -1.300e+03   -2.7124026e+02  1.5872542e+00
  -1.275e+03   -2.7123760e+02  1.5872526e+00
  -1.250e+03   -2.7271548e+02  1.5881495e+00
  -1.225e+03   -2.7050207e+02  1.5868078e+00
  -1.200e+03   -2.7038142e+02  1.5867350e+00
  -1.175e+03   -2.7034881e+02  1.5867153e+00
  -1.150e+03   -2.7094796e+02  1.5870773e+00
  -1.125e+03   -2.7108429e+02  1.5871598e+00
  -1.100e+03   -2.6924694e+02  1.5860514e+00
  -1.075e+03   -2.6828695e+02  1.5854749e+00
  -1.050e+03   -2.6743695e+02  1.5849661e+00
  -1.025e+03   -2.6502522e+02  1.5835301e+00
  -1.000e+03   -2.6325438e+02  1.5824833e+00
  -9.750e+02   -2.5708561e+02  1.5788860e+00
  -9.500e+02   -2.4213946e+02  1.5704922e+00
  -9.250e+02   -2.1024141e+02  1.5541304e+00
  -9.000e+02   -8.5809274e+01  1.5115577e+00
  -8.750e+02   -3.0550676e+01  1.5040033e+00
  -8.500e+02   -1.6807371e+02  1.5358393e+00
  -8.250e+02   -2.3125072e+02  1.5646671e+00
  -8.000e+02   -2.5008225e+02  1.5748959e+00
