# Offset (Hz)  Intensity       Uncertainty
  -1.500e+05    6.1453854e+02  3.6238914e+00
  -1.280e+03    2.7293037e+02  2.2884531e+00
  -1.250e+03    2.6950698e+02  2.2793222e+00
  -1.220e+03    2.7086318e+02  2.2836232e+00
  -1.190e+03    2.6785143e+02  2.2763248e+00
  -1.160e+03    2.7083519e+02  2.2852772e+00
  -1.130e+03    2.6937996e+02  2.2810037e+00
  -1.100e+03    2.7052828e+02  2.2845203e+00
  -1.070e+03    2.7112292e+02  2.2853882e+00
  -1.040e+03    2.7149150e+02  2.2860030e+00
  -1.010e+03    2.7084555e+02  2.2847891e+00
  -9.800e+02    2.7093708e+02  2.2845734e+00
  -9.500e+02    2.6875777e+02  2.2793031e+00
  -9.200e+02    2.6962081e+02  2.2814765e+00
  -8.900e+02    2.7118443e+02  2.2859151e+00
  -8.600e+02    2.7044325e+02  2.2834312e+00
  -8.300e+02    2.6982555e+02  2.2823272e+00
  -8.000e+02    2.7023129e+02  2.2836375e+00
  -7.700e+02    2.6959900e+02  2.2804403e+00
  -7.400e+02    2.6881962e+02  2.2781046e+00
  -7.100e+02    2.7080467e+02  2.2837769e+00
  -6.800e+02    2.7209835e+02  2.2887010e+00
  -6.500e+02    2.7076271e+02  2.2848672e+00
  -6.200e+02    2.6896975e+02  2.2799502e+00
  -5.900e+02    2.7117453e+02  2.2848008e+00
  -5.600e+02    2.7086791e+02  2.2845916e+00
  -5.300e+02    2.6994220e+02  2.2817079e+00
  -5.000e+02    2.7035670e+02  2.2835548e+00
  -4.700e+02    2.7010342e+02  2.2820197e+00
  -4.400e+02    2.7125061e+02  2.2852061e+00
  -4.100e+02    2.7111671e+02  2.2848997e+00
  -3.800e+02    2.7012098e+02  2.2822130e+00
  -3.500e+02    2.6956213e+02  2.2810750e+00
  -3.200e+02    2.7163980e+02  2.2860944e+00
  -2.900e+02    2.6823946e+02  2.2781457e+00
  -2.600e+02    2.6969541e+02  2.2812085e+00
  -2.300e+02    2.6915808e+02  2.2788615e+00
  -2.000e+02    2.7019563e+02  2.2827850e+00
  -1.700e+02    2.7153316e+02  2.2867604e+00
  -1.400e+02    2.7382577e+02  2.2921883e+00
  -1.100e+02    2.6893539e+02  2.2795724e+00
  -8.000e+01    2.6907411e+02  2.2802729e+00
  -5.000e+01    2.6856169e+02  2.2792110e+00
  -2.000e+01    2.6860361e+02  2.2784679e+00
   1.000e+01    2.7068135e+02  2.2838437e+00
   4.000e+01    2.6985756e+02  2.2821700e+00
   7.000e+01    2.7031043e+02  2.2826616e+00
   1.000e+02    2.6925372e+02  2.2798066e+00
   1.300e+02    2.7014064e+02  2.2822322e+00
