# Offset (Hz)  Intensity       Uncertainty
  -1.500e+05   -2.0628768e+02  1.5048642e+00
  -1.280e+03   -7.2552164e+01  7.1472342e-01
  -1.250e+03   -7.3247280e+01  7.1805009e-01
  -1.220e+03   -7.2329276e+01  7.1366017e-01
  -1.190e+03   -7.2016114e+01  7.1216917e-01
  -1.160e+03   -7.2829067e+01  7.1604667e-01
  -1.130e+03   -7.0425641e+01  7.0464906e-01
  -1.100e+03   -7.0396490e+01  7.0451205e-01
  -1.070e+03   -7.3057389e+01  7.1713969e-01
  -1.040e+03   -7.3945006e+01  7.2140550e-01
  -1.010e+03   -7.3118488e+01  7.1743251e-01
  -9.800e+02   -7.2860577e+01  7.1619740e-01
  -9.500e+02   -7.2141920e+01  7.1276774e-01
  -9.200e+02   -7.1702137e+01  7.1067765e-01
  -8.900e+02   -6.8884496e+01  6.9744754e-01
  -8.600e+02   -7.2895540e+01  7.1636471e-01
  -8.300e+02   -7.1844121e+01  7.1135171e-01
  -8.000e+02   -6.9415688e+01  6.9992006e-01
  -7.700e+02   -7.2385259e+01  7.1392707e-01
  -7.400e+02   -7.1435003e+01  7.0941134e-01
  -7.100e+02   -7.2530153e+01  7.1461835e-01
  -6.800e+02   -7.0464437e+01  7.0483144e-01
  -6.500e+02   -7.1463508e+01  7.0954635e-01
  -6.200e+02   -7.2490925e+01  7.1443111e-01
  -5.900e+02   -7.1631514e+01  7.1034264e-01
  -5.600e+02   -7.1321089e+01  7.0887210e-01
  -5.300e+02   -7.2589029e+01  7.1489943e-01
  -5.000e+02   -7.2456579e+01  7.1426723e-01
  -4.700e+02   -7.0903000e+01  7.0689683e-01
  -4.400e+02   -7.0138906e+01  7.0330275e-01
  -4.100e+02   -7.0031366e+01  7.0279858e-01
  -3.800e+02   -6.9304358e+01  6.9940102e-01
  -3.500e+02   -6.6868738e+01  6.8815950e-01
  -3.200e+02   -7.0915576e+01  7.0695615e-01
  -2.900e+02   -6.7589763e+01  6.9146438e-01
  -2.600e+02   -6.4528194e+01  6.7756911e-01
  -2.300e+02   -6.3327815e+01  6.7222163e-01
  -2.000e+02   -6.0486623e+01  6.5980124e-01
  -1.700e+02   -5.5176042e+01  6.3753443e-01
  -1.400e+02   -4.9434007e+01  6.1498001e-01
  -1.100e+02   -3.8152055e+01  5.7595842e-01
  -8.000e+01   -2.1338103e+01  5.3355939e-01
  -5.000e+01   -1.9475470e+00  5.1327435e-01
  -2.000e+01   -6.7051670e-01  5.1312115e-01
   1.000e+01   -8.0457211e-01  5.1313021e-01
   4.000e+01   -1.2260967e+01  5.1994448e-01
   7.000e+01   -3.1515850e+01  5.5676268e-01
   1.000e+02   -4.1411115e+01  5.8644951e-01
   1.300e+02   -5.0094847e+01  6.1748983e-01
   1.600e+02   -5.3985565e+01  6.3272300e-01
   1.900e+02   -5.4522408e+01  6.3488424e-01
   2.200e+02   -5.7176462e+01  6.4577105e-01
   2.500e+02   -5.1101877e+01  6.2135855e-01
   2.800e+02   -4.2150145e+01  5.8892048e-01
   3.100e+02   -4.0730611e+01  5.8420387e-01
   3.400e+02   -5.3733328e+01  6.3171241e-01
   3.700e+02   -6.1707667e+01  6.6509758e-01
   4.000e+02   -6.7646005e+01  6.9172297e-01
   4.300e+02   -6.7534965e+01  6.9121252e-01
   4.600e+02   -6.7731698e+01  6.9211724e-01
   4.900e+02   -7.0096973e+01  7.0310611e-01
   5.200e+02   -6.6707721e+01  6.8742418e-01
   5.500e+02   -7.0472792e+01  7.0487071e-01
   5.800e+02   -7.1485744e+01  7.0965167e-01
   6.100e+02   -7.1905325e+01  7.1164250e-01
   6.400e+02   -7.2575227e+01  7.1483353e-01
   6.700e+02   -7.3112630e+01  7.1740442e-01
   7.000e+02   -6.8839093e+01  6.9723668e-01
   7.300e+02   -7.4249614e+01  7.2287543e-01
   7.600e+02   -7.0114083e+01  7.0318633e-01
   7.900e+02   -7.1479134e+01  7.0962037e-01
   8.200e+02   -7.2645962e+01  7.1517135e-01
   8.500e+02   -7.3102597e+01  7.1735633e-01
   8.800e+02   -7.1499236e+01  7.0971559e-01
   9.100e+02   -7.1558234e+01  7.0999520e-01
   9.400e+02   -7.1558192e+01  7.0999500e-01
   9.700e+02   -7.2424396e+01  7.1411372e-01
   1.000e+03   -7.3655590e+01  7.2001171e-01
   1.030e+03   -7.0569571e+01  7.0532594e-01
   1.060e+03   -7.1958260e+01  7.1189408e-01
   1.090e+03   -7.1812390e+01  7.1120101e-01
   1.120e+03   -6.9096077e+01  6.9843116e-01
   1.150e+03   -7.3513790e+01  7.1932984e-01
   1.180e+03   -7.3721916e+01  7.2033089e-01
   1.210e+03   -7.0392778e+01  7.0449460e-01
   1.240e+03   -7.2517938e+01  7.1456004e-01
   1.270e+03   -7.2953378e+01  7.1664156e-01
  -1.500e+04   -2.0474976e+02  1.4949536e+00
  -1.700e+03   -7.2884333e+01  7.1631110e-01
  -1.670e+03   -7.2165924e+01  7.1288200e-01
  -1.640e+03   -7.3848231e+01  7.2093914e-01
  -1.610e+03   -7.3614072e+01  7.1981200e-01
  -1.580e+03   -7.2326473e+01  7.1364681e-01
  -1.550e+03   -7.2425393e+01  7.1411846e-01
  -1.520e+03   -7.2566184e+01  7.1479036e-01
  -1.490e+03   -7.1803472e+01  7.1115865e-01
  -1.460e+03   -7.1287993e+01  7.0871552e-01
  -1.430e+03   -7.2364495e+01  7.1382807e-01
  -1.400e+03   -7.1370465e+01  7.0910578e-01
  -1.370e+03   -7.4047819e+01  7.2190130e-01
  -1.340e+03   -7.1788906e+01  7.1108949e-01
  -1.310e+03   -7.0866337e+01  7.0672392e-01
  -1.280e+03   -6.9832834e+01  7.0186888e-01
  -1.250e+03   -7.1544510e+01  7.0993014e-01
  -1.220e+03   -7.1159986e+01  7.0811025e-01
