#   Offset (Hz)       Intensity     Uncertainty
  -1.200000e+05    3.547316e+06    8.565605e+03
  -7.500000e+02    9.971505e+05    8.565605e+03
  -7.250000e+02    9.620321e+05    8.565605e+03
  -7.000000e+02    9.623868e+05    8.565605e+03
  -6.750000e+02    9.677078e+05    8.565605e+03
  -6.500000e+02    9.680625e+05    8.565605e+03
  -6.250000e+02    9.581301e+05    8.565605e+03
  -6.000000e+02    9.762214e+05    8.565605e+03
  -5.750000e+02    9.588395e+05    8.565605e+03
  -5.500000e+02    9.560017e+05    8.565605e+03
  -5.250000e+02    9.879275e+05    8.565605e+03
  -5.000000e+02    9.552922e+05    8.565605e+03
  -4.750000e+02    9.726740e+05    8.565605e+03
  -4.500000e+02    9.489070e+05    8.565605e+03
  -4.250000e+02    9.765761e+05    8.565605e+03
  -4.000000e+02    9.794139e+05    8.565605e+03
  -3.750000e+02    9.467786e+05    8.565605e+03
  -3.500000e+02    9.336536e+05    8.565605e+03
  -3.250000e+02    9.652247e+05    8.565605e+03
  -3.000000e+02    9.467786e+05    8.565605e+03
  -2.750000e+02    9.279779e+05    8.565605e+03
  -2.500000e+02    9.074034e+05    8.565605e+03
  -2.250000e+02    8.988899e+05    8.565605e+03
  -2.000000e+02    9.031467e+05    8.565605e+03
  -1.750000e+02    8.467443e+05    8.565605e+03
  -1.500000e+02    7.389059e+05    8.565605e+03
  -1.250000e+02    5.799862e+05    8.565605e+03
  -1.000000e+02    2.451195e+05    8.565605e+03
  -7.500000e+01    2.234809e+04    8.565605e+03
  -5.000000e+01    1.312507e+04    8.565605e+03
  -2.500000e+01    5.214555e+04    8.565605e+03
   0.000000e+00    1.958118e+05    8.565605e+03
   2.500000e+01    3.068428e+05    8.565605e+03
   5.000000e+01    3.419613e+05    8.565605e+03
   7.500000e+01    3.408971e+05    8.565605e+03
   1.000000e+02    2.688866e+05    8.565605e+03
   1.250000e+02    1.145783e+05    8.565605e+03
   1.500000e+02    9.506807e+04    8.565605e+03
   1.750000e+02    2.848495e+05    8.565605e+03
   2.000000e+02    6.044626e+05    8.565605e+03
   2.250000e+02    7.768622e+05    8.565605e+03
   2.500000e+02    8.265246e+05    8.565605e+03
   2.750000e+02    8.861195e+05    8.565605e+03
   3.000000e+02    9.343630e+05    8.565605e+03
   3.250000e+02    9.623868e+05    8.565605e+03
   3.500000e+02    9.474881e+05    8.565605e+03
   3.750000e+02    9.613226e+05    8.565605e+03
   4.000000e+02    9.833160e+05    8.565605e+03
   4.250000e+02    9.599037e+05    8.565605e+03
   4.500000e+02    9.332988e+05    8.565605e+03
   4.750000e+02    9.602584e+05    8.565605e+03
   5.000000e+02    9.542280e+05    8.565605e+03
   5.250000e+02    9.673531e+05    8.565605e+03
   5.500000e+02    9.928937e+05    8.565605e+03
   5.750000e+02    9.843802e+05    8.565605e+03
   6.000000e+02    9.889917e+05    8.565605e+03
   6.250000e+02    9.691267e+05    8.565605e+03
   6.500000e+02    9.581301e+05    8.565605e+03
   6.750000e+02    9.960863e+05    8.565605e+03
   7.000000e+02    9.669983e+05    8.565605e+03
   7.250000e+02    9.648700e+05    8.565605e+03
   7.500000e+02    9.868633e+05    8.565605e+03
