#   Offset (Hz)       Intensity     Uncertainty
  -1.200000e+05    1.225414e+06    8.027523e+03
  -7.500000e+02    3.094170e+05    8.027523e+03
  -7.250000e+02    3.084367e+05    8.027523e+03
  -7.000000e+02    3.451991e+05    8.027523e+03
  -6.750000e+02    3.052506e+05    8.027523e+03
  -6.500000e+02    3.263277e+05    8.027523e+03
  -6.250000e+02    3.128482e+05    8.027523e+03
  -6.000000e+02    3.168921e+05    8.027523e+03
  -5.750000e+02    3.460569e+05    8.027523e+03
  -5.500000e+02    3.227740e+05    8.027523e+03
  -5.250000e+02    3.216712e+05    8.027523e+03
  -5.000000e+02    3.303716e+05    8.027523e+03
  -4.750000e+02    3.382143e+05    8.027523e+03
  -4.500000e+02    3.105199e+05    8.027523e+03
  -4.250000e+02    3.144412e+05    8.027523e+03
  -4.000000e+02    3.189753e+05    8.027523e+03
  -3.750000e+02    2.947121e+05    8.027523e+03
  -3.500000e+02    3.143187e+05    8.027523e+03
  -3.250000e+02    3.101523e+05    8.027523e+03
  -3.000000e+02    3.138285e+05    8.027523e+03
  -2.750000e+02    3.127257e+05    8.027523e+03
  -2.500000e+02    3.056183e+05    8.027523e+03
  -2.250000e+02    3.268179e+05    8.027523e+03
  -2.000000e+02    2.819678e+05    8.027523e+03
  -1.750000e+02    2.638316e+05    8.027523e+03
  -1.500000e+02    2.396910e+05    8.027523e+03
  -1.250000e+02    1.675141e+05    8.027523e+03
  -1.000000e+02    7.793633e+04    8.027523e+03
  -7.500000e+01    2.340541e+04    8.027523e+03
  -5.000000e+01   -6.127070e+02    8.027523e+03
  -2.500000e+01    2.450828e+03    8.027523e+03
   0.000000e+00    5.232518e+04    8.027523e+03
   2.500000e+01    9.509213e+04    8.027523e+03
   5.000000e+01    1.064885e+05    8.027523e+03
   7.500000e+01    1.275656e+05    8.027523e+03
   1.000000e+02    9.729787e+04    8.027523e+03
   1.250000e+02    1.078364e+05    8.027523e+03
   1.500000e+02    3.872308e+04    8.027523e+03
   1.750000e+02    4.337966e+04    8.027523e+03
   2.000000e+02    1.300164e+05    8.027523e+03
   2.250000e+02    2.352795e+05    8.027523e+03
   2.500000e+02    2.423869e+05    8.027523e+03
   2.750000e+02    3.135834e+05    8.027523e+03
   3.000000e+02    2.727772e+05    8.027523e+03
   3.250000e+02    2.980207e+05    8.027523e+03
   3.500000e+02    3.239995e+05    8.027523e+03
   3.750000e+02    3.134609e+05    8.027523e+03
   4.000000e+02    3.046379e+05    8.027523e+03
   4.250000e+02    3.336802e+05    8.027523e+03
   4.500000e+02    3.096621e+05    8.027523e+03
   4.750000e+02    3.313519e+05    8.027523e+03
   5.000000e+02    3.062310e+05    8.027523e+03
   5.250000e+02    3.427483e+05    8.027523e+03
   5.500000e+02    3.128482e+05    8.027523e+03
   5.750000e+02    3.156666e+05    8.027523e+03
   6.000000e+02    2.978981e+05    8.027523e+03
   6.250000e+02    3.176273e+05    8.027523e+03
   6.500000e+02    3.447090e+05    8.027523e+03
   6.750000e+02    3.401749e+05    8.027523e+03
   7.000000e+02    3.198331e+05    8.027523e+03
   7.250000e+02    3.235093e+05    8.027523e+03
   7.500000e+02    3.232642e+05    8.027523e+03
