#   Offset (Hz)       Intensity     Uncertainty
  -1.200000e+05    2.149486e+06    8.120928e+03
  -7.500000e+02    4.883632e+05    8.120928e+03
  -7.250000e+02    4.896529e+05    8.120928e+03
  -7.000000e+02    4.971761e+05    8.120928e+03
  -6.750000e+02    4.599900e+05    8.120928e+03
  -6.500000e+02    4.952416e+05    8.120928e+03
  -6.250000e+02    4.838493e+05    8.120928e+03
  -6.000000e+02    4.976060e+05    8.120928e+03
  -5.750000e+02    5.068488e+05    8.120928e+03
  -5.500000e+02    4.617096e+05    8.120928e+03
  -5.250000e+02    5.218952e+05    8.120928e+03
  -5.000000e+02    4.937369e+05    8.120928e+03
  -4.750000e+02    5.012601e+05    8.120928e+03
  -4.500000e+02    5.031947e+05    8.120928e+03
  -4.250000e+02    5.038395e+05    8.120928e+03
  -4.000000e+02    4.765410e+05    8.120928e+03
  -3.750000e+02    4.896529e+05    8.120928e+03
  -3.500000e+02    4.851390e+05    8.120928e+03
  -3.250000e+02    4.823447e+05    8.120928e+03
  -3.000000e+02    4.819148e+05    8.120928e+03
  -2.750000e+02    4.309719e+05    8.120928e+03
  -2.500000e+02    4.092621e+05    8.120928e+03
  -2.250000e+02    3.314507e+05    8.120928e+03
  -2.000000e+02    2.340790e+05    8.120928e+03
  -1.750000e+02    9.113821e+04    8.120928e+03
  -1.500000e+02    5.997066e+04    8.120928e+03
  -1.250000e+02    1.014557e+05    8.120928e+03
  -1.000000e+02    2.155934e+05    8.120928e+03
  -7.500000e+01    2.529945e+05    8.120928e+03
  -5.000000e+01    2.968440e+05    8.120928e+03
  -2.500000e+01    3.056569e+05    8.120928e+03
   0.000000e+00    2.706203e+05    8.120928e+03
   2.500000e+01    2.327893e+05    8.120928e+03
   5.000000e+01    1.459501e+05    8.120928e+03
   7.500000e+01    9.113821e+04    8.120928e+03
   1.000000e+02   -1.504640e+04    8.120928e+03
   1.250000e+02   -2.127991e+04    8.120928e+03
   1.500000e+02    4.728869e+03    8.120928e+03
   1.750000e+02    1.094088e+05    8.120928e+03
   2.000000e+02    2.463311e+05    8.120928e+03
   2.250000e+02    3.707863e+05    8.120928e+03
   2.500000e+02    3.933559e+05    8.120928e+03
   2.750000e+02    4.589153e+05    8.120928e+03
   3.000000e+02    4.408596e+05    8.120928e+03
   3.250000e+02    4.535415e+05    8.120928e+03
   3.500000e+02    4.657936e+05    8.120928e+03
   3.750000e+02    4.890081e+05    8.120928e+03
   4.000000e+02    4.683730e+05    8.120928e+03
   4.250000e+02    4.971761e+05    8.120928e+03
   4.500000e+02    4.832045e+05    8.120928e+03
   4.750000e+02    4.862137e+05    8.120928e+03
   5.000000e+02    4.984658e+05    8.120928e+03
   5.250000e+02    4.791204e+05    8.120928e+03
   5.500000e+02    5.068488e+05    8.120928e+03
   5.750000e+02    5.077086e+05    8.120928e+03
   6.000000e+02    4.890081e+05    8.120928e+03
   6.250000e+02    4.999704e+05    8.120928e+03
   6.500000e+02    5.182411e+05    8.120928e+03
   6.750000e+02    4.954565e+05    8.120928e+03
   7.000000e+02    5.085684e+05    8.120928e+03
   7.250000e+02    4.879333e+05    8.120928e+03
   7.500000e+02    4.752514e+05    8.120928e+03
