#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    1.3398536e+03  5.8534208e+00
  -9.000e+02    7.4585705e+02  4.7051603e+00
  -8.800e+02    7.5255432e+02  4.7155847e+00
  -8.600e+02    7.4116965e+02  4.6979061e+00
  -8.400e+02    7.2363286e+02  4.6710745e+00
  -8.200e+02    7.2180512e+02  4.6683063e+00
  -8.000e+02    7.2834759e+02  4.6782401e+00
  -7.800e+02    7.2167583e+02  4.6681107e+00
  -7.600e+02    7.1937393e+02  4.6646325e+00
  -7.400e+02    7.1538197e+02  4.6586206e+00
  -7.200e+02    7.1015429e+02  4.6507868e+00
  -7.000e+02    6.8681473e+02  4.6163565e+00
  -6.800e+02    6.8708040e+02  4.6167433e+00
  -6.600e+02    6.7123093e+02  4.5938697e+00
  -6.400e+02    6.3956086e+02  4.5494386e+00
  -6.200e+02    5.9855469e+02  4.4945021e+00
  -6.000e+02    5.4020184e+02  4.4215686e+00
  -5.800e+02    4.4954840e+02  4.3211365e+00
  -5.600e+02    2.6383592e+02  4.1684194e+00
  -5.400e+02    5.7431288e+01  4.0898406e+00
  -5.200e+02   -1.0215851e+00  4.0858938e+00
  -5.000e+02   -1.5162805e+00  4.0858953e+00
  -4.800e+02    8.6157510e+01  4.0947724e+00
  -4.600e+02    3.0373712e+02  4.1949188e+00
  -4.400e+02    4.6780249e+02  4.3400568e+00
  -4.200e+02    5.4287470e+02  4.4247710e+00
  -4.000e+02    6.0395530e+02  4.5015668e+00
  -3.800e+02    6.4938046e+02  4.5630311e+00
  -3.600e+02    6.6122936e+02  4.5796532e+00
  -3.400e+02    6.9123739e+02  4.6228119e+00
  -3.200e+02    6.9000001e+02  4.6210025e+00
  -3.000e+02    7.0621691e+02  4.6449158e+00
  -2.800e+02    7.0788953e+02  4.6474068e+00
  -2.600e+02    7.1404154e+02  4.6566078e+00
  -2.400e+02    7.1327830e+02  4.6554629e+00
  -2.200e+02    7.2390370e+02  4.6714852e+00
  -2.000e+02    7.2659877e+02  4.6755781e+00
  -1.800e+02    7.1597806e+02  4.6595167e+00
  -1.600e+02    7.1293914e+02  4.6549545e+00
  -1.400e+02    7.1643556e+02  4.6602048e+00
  -1.200e+02    7.1126610e+02  4.6524492e+00
  -1.000e+02    7.1574964e+02  4.6591733e+00
  -8.000e+01    7.1650930e+02  4.6603158e+00
  -6.000e+01    7.0774144e+02  4.6471860e+00
  -4.000e+01    6.6056157e+02  4.5787100e+00
  -2.000e+01    6.0409119e+02  4.5017451e+00
   0.000e+00    5.5325433e+02  4.4373346e+00
   2.000e+01    6.1718813e+02  4.5190970e+00
   4.000e+01    6.8720584e+02  4.6169260e+00
   6.000e+01    7.2345480e+02  4.6708047e+00
   8.000e+01    7.3188510e+02  4.6836397e+00
   1.000e+02    7.2374187e+02  4.6712398e+00
   1.200e+02    7.4123647e+02  4.6980092e+00
   1.400e+02    7.4191743e+02  4.6990610e+00
   1.600e+02    7.4848750e+02  4.7092462e+00
   1.800e+02    7.4324775e+02  4.7011178e+00
   2.000e+02    7.3678104e+02  4.6911456e+00
   2.200e+02    7.4955100e+02  4.7109013e+00
   2.400e+02    7.4875833e+02  4.7096675e+00
   2.600e+02    7.4692686e+02  4.7068208e+00
   2.800e+02    7.3993069e+02  4.6959944e+00
   3.000e+02    7.5547546e+02  4.7201534e+00
   3.200e+02    7.3429115e+02  4.6873237e+00
   3.400e+02    7.5111368e+02  4.7133364e+00
   3.600e+02    7.4308194e+02  4.7008613e+00
   3.800e+02    7.4557523e+02  4.7047232e+00
   4.000e+02    7.5042365e+02  4.7122607e+00
   4.200e+02    7.4940764e+02  4.7106781e+00
   4.400e+02    7.3775202e+02  4.6926388e+00
   4.600e+02    7.4311080e+02  4.7009060e+00
   4.800e+02    7.4740905e+02  4.7075698e+00
   5.000e+02    7.5939766e+02  4.7263086e+00
   5.200e+02    7.5114927e+02  4.7133919e+00
   5.400e+02    7.4690175e+02  4.7067818e+00
   5.600e+02    7.3244169e+02  4.6844911e+00
   5.800e+02    7.4466064e+02  4.7033054e+00
   6.000e+02    7.4706763e+02  4.7070394e+00
   6.200e+02    7.4626557e+02  4.7057941e+00
   6.400e+02    7.3894352e+02  4.6944731e+00
   6.600e+02    7.5508246e+02  4.7195380e+00
   6.800e+02    7.4800409e+02  4.7084945e+00
   7.000e+02    7.4037183e+02  4.6966749e+00
   7.200e+02    7.3938102e+02  4.6951471e+00
   7.400e+02    7.5200954e+02  4.7147341e+00
   7.600e+02    7.4861794e+02  4.7094491e+00
   7.800e+02    7.3707616e+02  4.6915993e+00
   8.000e+02    7.3942172e+02  4.6952098e+00
   8.200e+02    7.4722850e+02  4.7072892e+00
   8.400e+02    7.5471981e+02  4.7189703e+00
   8.600e+02    7.3551302e+02  4.6891981e+00
   8.800e+02    7.4673980e+02  4.7065303e+00
   9.000e+02    7.3937133e+02  4.6951322e+00
