#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    1.3017649e+03  3.6438846e+00
  -9.000e+02    7.0593939e+02  2.9882095e+00
  -8.800e+02    7.0191843e+02  2.9847642e+00
  -8.600e+02    6.9218202e+02  2.9764872e+00
  -8.400e+02    6.9274214e+02  2.9769608e+00
  -8.200e+02    6.8426622e+02  2.9698263e+00
  -8.000e+02    6.8998540e+02  2.9746326e+00
  -7.800e+02    6.9592389e+02  2.9796572e+00
  -7.600e+02    6.8859130e+02  2.9734581e+00
  -7.400e+02    7.0262444e+02  2.9853680e+00
  -7.200e+02    6.8983428e+02  2.9745052e+00
  -7.000e+02    6.9729210e+02  2.9808198e+00
  -6.800e+02    6.9823633e+02  2.9816231e+00
  -6.600e+02    7.0419067e+02  2.9867092e+00
  -6.400e+02    7.0303122e+02  2.9857161e+00
  -6.200e+02    6.9170250e+02  2.9760819e+00
  -6.000e+02    6.8641073e+02  2.9716248e+00
  -5.800e+02    6.9560098e+02  2.9793831e+00
  -5.600e+02    6.9058905e+02  2.9751418e+00
  -5.400e+02    7.0078754e+02  2.9837981e+00
  -5.200e+02    6.8716216e+02  2.9722560e+00
  -5.000e+02    6.8332548e+02  2.9690389e+00
  -4.800e+02    6.6698346e+02  2.9554993e+00
  -4.600e+02    6.7480961e+02  2.9619502e+00
  -4.400e+02    6.8136071e+02  2.9673970e+00
  -4.200e+02    6.7392118e+02  2.9612148e+00
  -4.000e+02    6.9117744e+02  2.9756384e+00
  -3.800e+02    6.9965098e+02  2.9828284e+00
  -3.600e+02    6.8606456e+02  2.9713342e+00
  -3.400e+02    6.9552630e+02  2.9793197e+00
  -3.200e+02    7.0811055e+02  2.9900763e+00
  -3.000e+02    7.0524982e+02  2.9876175e+00
  -2.800e+02    6.9295839e+02  2.9771438e+00
  -2.600e+02    6.9218488e+02  2.9764896e+00
  -2.400e+02    7.0375442e+02  2.9863354e+00
  -2.200e+02    6.9014519e+02  2.9747674e+00
  -2.000e+02    6.9617022e+02  2.9798664e+00
  -1.800e+02    6.9015959e+02  2.9747795e+00
  -1.600e+02    6.9234258e+02  2.9766229e+00
  -1.400e+02    6.8258414e+02  2.9684189e+00
  -1.200e+02    6.9900314e+02  2.9822762e+00
  -1.000e+02    6.8911130e+02  2.9738960e+00
  -8.000e+01    6.8547394e+02  2.9708386e+00
  -6.000e+01    6.8374026e+02  2.9693860e+00
  -4.000e+01    6.8466295e+02  2.9701587e+00
  -2.000e+01    6.8527941e+02  2.9706755e+00
   0.000e+00    6.7032729e+02  2.9582480e+00
   2.000e+01    6.8245209e+02  2.9683085e+00
   4.000e+01    6.6046214e+02  2.9501708e+00
   6.000e+01    6.5249939e+02  2.9437227e+00
   8.000e+01    6.1849624e+02  2.9169163e+00
   1.000e+02    5.7782516e+02  2.8864391e+00
   1.200e+02    5.8713057e+02  2.8932571e+00
   1.400e+02    5.8802795e+02  2.8939195e+00
   1.600e+02    5.5526151e+02  2.8702949e+00
   1.800e+02    5.8478642e+02  2.8915308e+00
   2.000e+02    6.2312711e+02  2.9204968e+00
   2.200e+02    6.3850021e+02  2.9325425e+00
   2.400e+02    6.5243639e+02  2.9436719e+00
   2.600e+02    6.5358765e+02  2.9446002e+00
   2.800e+02    6.3968113e+02  2.9334779e+00
   3.000e+02    6.4969310e+02  2.9414655e+00
   3.200e+02    6.3034931e+02  2.9261255e+00
   3.400e+02    6.4187206e+02  2.9352171e+00
   3.600e+02    6.2064684e+02  2.9185763e+00
   3.800e+02    6.0406950e+02  2.9059052e+00
   4.000e+02    5.6285324e+02  2.8756650e+00
   4.200e+02    5.2891586e+02  2.8521502e+00
   4.400e+02    4.4124196e+02  2.7974212e+00
   4.600e+02    2.9135572e+02  2.7251430e+00
   4.800e+02    8.6722930e+01  2.6730440e+00
   5.000e+02    5.4802225e+00  2.6679456e+00
   5.200e+02    9.2648747e-01  2.6679257e+00
   5.400e+02    2.6460477e+00  2.6679299e+00
   5.600e+02    1.6843135e+02  2.6871826e+00
   5.800e+02    3.8971682e+02  2.7694631e+00
   6.000e+02    4.9610824e+02  2.8306389e+00
   6.200e+02    5.6268691e+02  2.8755467e+00
   6.400e+02    6.0094863e+02  2.9035521e+00
   6.600e+02    6.2434775e+02  2.9214444e+00
   6.800e+02    6.4018084e+02  2.9338742e+00
   7.000e+02    6.6398904e+02  2.9530473e+00
   7.200e+02    6.6681804e+02  2.9553636e+00
   7.400e+02    6.5931643e+02  2.9492391e+00
   7.600e+02    6.7141372e+02  2.9591435e+00
   7.800e+02    6.8590326e+02  2.9711988e+00
   8.000e+02    6.7737216e+02  2.9640757e+00
   8.200e+02    6.7409362e+02  2.9613575e+00
   8.400e+02    6.9027756e+02  2.9748790e+00
   8.600e+02    6.8660661e+02  2.9717893e+00
   8.800e+02    6.9112586e+02  2.9755949e+00
   9.000e+02    6.9592767e+02  2.9796604e+00
