#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    1.2979017e+03  3.6714743e+00
  -9.000e+02    7.0411869e+02  3.0294116e+00
  -8.800e+02    7.2370919e+02  3.0460746e+00
  -8.600e+02    7.0634789e+02  3.0312892e+00
  -8.400e+02    7.1890963e+02  3.0419585e+00
  -8.200e+02    7.0786744e+02  3.0325718e+00
  -8.000e+02    7.0795075e+02  3.0326422e+00
  -7.800e+02    7.0664314e+02  3.0315382e+00
  -7.600e+02    6.9883040e+02  3.0249765e+00
  -7.400e+02    7.2305769e+02  3.0455146e+00
  -7.200e+02    7.1559272e+02  3.0391266e+00
  -7.000e+02    7.1104928e+02  3.0352646e+00
  -6.800e+02    7.1882903e+02  3.0418895e+00
  -6.600e+02    7.2293076e+02  3.0454055e+00
  -6.400e+02    7.1822500e+02  3.0413731e+00
  -6.200e+02    7.0137079e+02  3.0271037e+00
  -6.000e+02    7.0359280e+02  3.0289693e+00
  -5.800e+02    7.0775250e+02  3.0324747e+00
  -5.600e+02    7.1106381e+02  3.0352770e+00
  -5.400e+02    7.0747285e+02  3.0322385e+00
  -5.200e+02    7.0312752e+02  3.0285783e+00
  -5.000e+02    7.1589342e+02  3.0393829e+00
  -4.800e+02    7.1127093e+02  3.0354526e+00
  -4.600e+02    7.1438100e+02  3.0380947e+00
  -4.400e+02    7.0307804e+02  3.0285367e+00
  -4.200e+02    7.0923353e+02  3.0337267e+00
  -4.000e+02    7.1826103e+02  3.0414039e+00
  -3.800e+02    6.9875202e+02  3.0249110e+00
  -3.600e+02    7.0766635e+02  3.0324019e+00
  -3.400e+02    7.0917838e+02  3.0336801e+00
  -3.200e+02    7.1178444e+02  3.0358882e+00
  -3.000e+02    7.0891265e+02  3.0334553e+00
  -2.800e+02    7.2467138e+02  3.0469024e+00
  -2.600e+02    7.0252450e+02  3.0280718e+00
  -2.400e+02    7.0942925e+02  3.0338924e+00
  -2.200e+02    7.1219393e+02  3.0362358e+00
  -2.000e+02    7.1966444e+02  3.0426043e+00
  -1.800e+02    6.9959826e+02  3.0256188e+00
  -1.600e+02    7.0617602e+02  3.0311442e+00
  -1.400e+02    7.1349475e+02  3.0373409e+00
  -1.200e+02    7.1233946e+02  3.0363593e+00
  -1.000e+02    6.9659968e+02  3.0231138e+00
  -8.000e+01    6.9828842e+02  3.0245235e+00
  -6.000e+01    6.9711309e+02  3.0235421e+00
  -4.000e+01    6.8879153e+02  3.0166317e+00
  -2.000e+01    7.0039566e+02  3.0262864e+00
   0.000e+00    7.0640859e+02  3.0313404e+00
   2.000e+01    6.8278250e+02  3.0116836e+00
   4.000e+01    6.8883635e+02  3.0166687e+00
   6.000e+01    6.6647594e+02  2.9984344e+00
   8.000e+01    6.0908880e+02  2.9539261e+00
   1.000e+02    6.2312759e+02  2.9645045e+00
   1.200e+02    6.4442168e+02  2.9809352e+00
   1.400e+02    6.4505840e+02  2.9814335e+00
   1.600e+02    5.9173695e+02  2.9411337e+00
   1.800e+02    5.7651933e+02  2.9301749e+00
   2.000e+02    6.0579668e+02  2.9514749e+00
   2.200e+02    6.3904456e+02  2.9767427e+00
   2.400e+02    6.6163818e+02  2.9945542e+00
   2.600e+02    6.5496076e+02  2.9892368e+00
   2.800e+02    6.6133178e+02  2.9943093e+00
   3.000e+02    6.5250296e+02  2.9872909e+00
   3.200e+02    6.5414753e+02  2.9885923e+00
   3.400e+02    6.3368063e+02  2.9725897e+00
   3.600e+02    6.0706790e+02  2.9524201e+00
   3.800e+02    5.4598701e+02  2.9089319e+00
   4.000e+02    4.7401231e+02  2.8628978e+00
   4.200e+02    3.6580419e+02  2.8048687e+00
   4.400e+02    1.7241052e+02  2.7368914e+00
   4.600e+02    3.6434446e+01  2.7180502e+00
   4.800e+02    1.1681064e+01  2.7172571e+00
   5.000e+02    7.8149899e+01  2.7212307e+00
   5.200e+02    1.2022977e+02  2.7267763e+00
   5.400e+02    6.0281346e+01  2.7195853e+00
   5.600e+02    1.5948814e+01  2.7173356e+00
   5.800e+02    1.0178982e+02  2.7240579e+00
   6.000e+02    4.0340372e+02  2.8234664e+00
   6.200e+02    5.3813335e+02  2.9036304e+00
   6.400e+02    6.0037528e+02  2.9474629e+00
   6.600e+02    6.4223977e+02  2.9792304e+00
   6.800e+02    6.6815609e+02  2.9997874e+00
   7.000e+02    6.7358304e+02  3.0041768e+00
   7.200e+02    6.7227015e+02  3.0031122e+00
   7.400e+02    6.8363538e+02  3.0123837e+00
   7.600e+02    6.8443994e+02  3.0130449e+00
   7.800e+02    7.0710501e+02  3.0319280e+00
   8.000e+02    7.0092906e+02  3.0267333e+00
   8.200e+02    6.9681496e+02  3.0232933e+00
   8.400e+02    6.9226248e+02  3.0195058e+00
   8.600e+02    7.0077843e+02  3.0266071e+00
   8.800e+02    7.0456792e+02  3.0297896e+00
   9.000e+02    7.0071782e+02  3.0265563e+00
