#Offset (Hz)        Intensity    Uncertainty
  -1.000e+05    7.6432655e+04  3.4254004e+02
  -7.500e+02    3.2121806e+04  1.8778339e+02
  -7.250e+02    3.2167611e+04  1.8791713e+02
  -7.000e+02    3.2406237e+04  1.8861536e+02
  -6.750e+02    3.2253521e+04  1.8816821e+02
  -6.500e+02    3.2250168e+04  1.8815841e+02
  -6.250e+02    3.2346273e+04  1.8843967e+02
  -6.000e+02    3.2012677e+04  1.8746516e+02
  -5.750e+02    3.2136861e+04  1.8782734e+02
  -5.500e+02    3.2321309e+04  1.8836656e+02
  -5.250e+02    3.2274351e+04  1.8822914e+02
  -5.000e+02    3.2255397e+04  1.8817370e+02
  -4.750e+02    3.2273311e+04  1.8822610e+02
  -4.500e+02    3.2002783e+04  1.8743633e+02
  -4.250e+02    3.2175307e+04  1.8793961e+02
  -4.000e+02    3.2250133e+04  1.8815831e+02
  -3.750e+02    3.2176623e+04  1.8794345e+02
  -3.500e+02    3.2069493e+04  1.8763077e+02
  -3.250e+02    3.2168218e+04  1.8791890e+02
  -3.000e+02    3.2049832e+04  1.8757345e+02
  -2.750e+02    3.1950098e+04  1.8728292e+02
  -2.500e+02    3.2115169e+04  1.8776402e+02
  -2.250e+02    3.1987630e+04  1.8739220e+02
  -2.000e+02    3.1935418e+04  1.8724020e+02
  -1.750e+02    3.1588326e+04  1.8623291e+02
  -1.500e+02    3.1734883e+04  1.8665755e+02
  -1.250e+02    3.1564239e+04  1.8616321e+02
  -1.000e+02    3.1508161e+04  1.8600106e+02
  -7.500e+01    3.1055724e+04  1.8469821e+02
  -5.000e+01    3.0292434e+04  1.8252253e+02
  -2.500e+01    2.9554065e+04  1.8044533e+02
   0.000e+00    2.8047184e+04  1.7629395e+02
   2.500e+01    2.3668845e+04  1.6497328e+02
   5.000e+01    1.3169116e+04  1.4358537e+02
   7.500e+01   -1.2597454e+02  1.3288350e+02
   1.000e+02    3.7119884e+03  1.3376415e+02
   1.250e+02    1.9029598e+04  1.5439033e+02
   1.500e+02    2.5684059e+04  1.7003859e+02
   1.750e+02    2.8182956e+04  1.7666301e+02
   2.000e+02    2.8570000e+04  1.7772057e+02
   2.250e+02    2.9530164e+04  1.8037856e+02
   2.500e+02    2.9397468e+04  1.8000835e+02
   2.750e+02    2.8122886e+04  1.7649960e+02
   3.000e+02    2.4613165e+04  1.6731439e+02
   3.250e+02    2.8019929e+04  1.7621999e+02
   3.500e+02    3.0567082e+04  1.8330212e+02
   3.750e+02    3.1263046e+04  1.8529401e+02
   4.000e+02    3.1863055e+04  1.8702974e+02
   4.250e+02    3.2283378e+04  1.8825555e+02
   4.500e+02    3.1974344e+04  1.8735351e+02
   4.750e+02    3.2123286e+04  1.8778771e+02
   5.000e+02    3.2093556e+04  1.8770096e+02
   5.250e+02    3.2089833e+04  1.8769011e+02
   5.500e+02    3.2208070e+04  1.8803533e+02
   5.750e+02    3.2340160e+04  1.8842177e+02
   6.000e+02    3.2185442e+04  1.8796922e+02
   6.250e+02    3.2043017e+04  1.8755358e+02
   6.500e+02    3.2430700e+04  1.8868709e+02
   6.750e+02    3.2129690e+04  1.8780641e+02
   7.000e+02    3.2203540e+04  1.8802210e+02
   7.250e+02    3.1997104e+04  1.8741980e+02
   7.500e+02    3.1756520e+04  1.8672032e+02
