#Offset (Hz)        Intensity    Uncertainty
  -1.000e+05    5.5170403e+04  2.5050816e+02
  -7.500e+02    2.3082852e+04  1.3961977e+02
  -7.250e+02    2.3484167e+04  1.4076808e+02
  -7.000e+02    2.3272246e+04  1.4016040e+02
  -6.750e+02    2.3552006e+04  1.4096322e+02
  -6.500e+02    2.3495024e+04  1.4079929e+02
  -6.250e+02    2.3504025e+04  1.4082517e+02
  -6.000e+02    2.3371896e+04  1.4044579e+02
  -5.750e+02    2.3047434e+04  1.3951893e+02
  -5.500e+02    2.3436210e+04  1.4063032e+02
  -5.250e+02    2.3325233e+04  1.4031207e+02
  -5.000e+02    2.3650226e+04  1.4124625e+02
  -4.750e+02    2.3313093e+04  1.4027731e+02
  -4.500e+02    2.3583604e+04  1.4105420e+02
  -4.250e+02    2.3117165e+04  1.3971755e+02
  -4.000e+02    2.3590206e+04  1.4107322e+02
  -3.750e+02    2.3578746e+04  1.4104021e+02
  -3.500e+02    2.3253101e+04  1.4010565e+02
  -3.250e+02    2.3395578e+04  1.4051371e+02
  -3.000e+02    2.3162750e+04  1.3984756e+02
  -2.750e+02    2.3444986e+04  1.4065552e+02
  -2.500e+02    2.3162155e+04  1.3984586e+02
  -2.250e+02    2.3307532e+04  1.4026138e+02
  -2.000e+02    2.3279790e+04  1.4018199e+02
  -1.750e+02    2.3281801e+04  1.4018774e+02
  -1.500e+02    2.2981294e+04  1.3933084e+02
  -1.250e+02    2.3472525e+04  1.4073463e+02
  -1.000e+02    2.3063116e+04  1.3956357e+02
  -7.500e+01    2.3421590e+04  1.4058834e+02
  -5.000e+01    2.3261309e+04  1.4012913e+02
  -2.500e+01    2.3217513e+04  1.4000393e+02
   0.000e+00    2.2972038e+04  1.3930454e+02
   2.500e+01    2.2928492e+04  1.3918089e+02
   5.000e+01    2.3520193e+04  1.4087167e+02
   7.500e+01    2.3156980e+04  1.3983110e+02
   1.000e+02    2.2323988e+04  1.3747734e+02
   1.250e+02    2.0353978e+04  1.3210411e+02
   1.500e+02    1.7529261e+04  1.2493140e+02
   1.750e+02    2.0464688e+04  1.3239845e+02
   2.000e+02    2.1797098e+04  1.3601288e+02
   2.250e+02    2.2052098e+04  1.3671923e+02
   2.500e+02    2.2388809e+04  1.3765883e+02
   2.750e+02    2.2323907e+04  1.3747711e+02
   3.000e+02    2.2333564e+04  1.3750413e+02
   3.250e+02    2.2190837e+04  1.3710544e+02
   3.500e+02    2.1384361e+04  1.3487936e+02
   3.750e+02    2.0560862e+04  1.3265492e+02
   4.000e+02    1.7949666e+04  1.2595566e+02
   4.250e+02    1.3585178e+04  1.1616185e+02
   4.500e+02    3.2022443e+03  1.0242341e+02
   4.750e+02    1.4850128e+02  1.0155917e+02
   5.000e+02    7.0095182e+03  1.0564276e+02
   5.250e+02    1.6056904e+04  1.2147377e+02
   5.500e+02    1.9463979e+04  1.2977265e+02
   5.750e+02    2.1094707e+04  1.3409122e+02
   6.000e+02    2.1909950e+04  1.3632491e+02
   6.250e+02    2.2331801e+04  1.3749920e+02
   6.500e+02    2.2772612e+04  1.3873926e+02
   6.750e+02    2.2944339e+04  1.3922587e+02
   7.000e+02    2.2961086e+04  1.3927343e+02
   7.250e+02    2.2804851e+04  1.3883046e+02
   7.500e+02    2.2805964e+04  1.3883361e+02
