#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.5531623e+03  1.2914016e+01
   2.000e+00    3.5373372e+03  9.4326608e+00
   3.000e+01    4.2799296e+03  9.9556595e+00
   4.000e+00    3.8937948e+03  9.6748166e+00
   2.600e+01    4.2659150e+03  9.9451471e+00
   6.000e+00    4.0463230e+03  9.7835358e+00
   2.200e+01    4.2639278e+03  9.9436585e+00
   8.000e+00    4.1364191e+03  9.8491294e+00
   2.000e+01    4.2593130e+03  9.9402031e+00
   1.000e+01    4.2011618e+03  9.8968809e+00
   1.800e+01    4.2538061e+03  9.9360831e+00
   1.200e+01    4.2319925e+03  9.9197989e+00
   1.600e+01    4.2419335e+03  9.9272129e+00
   1.400e+01    4.2452836e+03  9.9297142e+00
   2.000e+00    3.5401410e+03  9.4344980e+00
   2.600e+01    4.2585461e+03  9.9396291e+00
