#
#       Peak Name  Conv_flg Overlap_flg
#          10N-HN         1           1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   122.215     8.165
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2218269e+02  1.0258869e-04
# w1(Hz)        1.4428397e+01  1.6438600e-02
# g1            6.4496031e-01  5.2176569e-03
# f02(ppm)      8.1643191e+00  1.2000916e-05
# w2(Hz)        1.6591385e+01  1.9761862e-02
# g2            4.9010353e-01  4.1847739e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    3.6188843e+04  1.3596468e+02
   3.000e+01    2.7139769e+04  1.2557794e+02
   1.000e+00    2.4940762e+04  1.2316790e+02
   2.700e+01    2.6899325e+04  1.2534568e+02
   2.000e+00    2.5759099e+04  1.2398689e+02
   2.400e+01    2.7268485e+04  1.2569813e+02
   3.000e+00    2.6337190e+04  1.2464496e+02
   2.100e+01    2.7050429e+04  1.2549856e+02
   4.000e+00    2.6633507e+04  1.2493122e+02
   1.800e+01    2.7203007e+04  1.2561677e+02
   5.000e+00    2.6831057e+04  1.2518684e+02
   1.500e+01    2.6952807e+04  1.2540571e+02
   6.000e+00    2.6899519e+04  1.2525349e+02
   1.200e+01    2.6883253e+04  1.2533292e+02
   7.000e+00    2.7142588e+04  1.2555352e+02
   1.000e+01    2.6898707e+04  1.2533826e+02
   8.000e+00    2.6897967e+04  1.2529145e+02
   4.000e+00    2.6700083e+04  1.2502213e+02
   1.000e+00    2.5225058e+04  1.2343338e+02
   2.700e+01    2.7015450e+04  1.2545274e+02
