#
#       Peak Name  Conv_flg Overlap_flg
#         123N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   113.769     6.902
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1381725e+02  1.7357445e-04
# w1(Hz)        2.5454193e+01  4.5890382e-02
# g1            7.1221685e-01  9.3536067e-03
# f02(ppm)      6.9040578e+00  1.1034963e-05
# w2(Hz)        1.5456487e+01  2.8358269e-02
# g2            4.7116604e-01  5.3753898e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.4569182e+04  8.7076715e+01
   3.000e+01    1.2558941e+04  8.3691386e+01
   1.000e+00    1.1238193e+04  8.1676582e+01
   2.700e+01    1.2971283e+04  8.4355469e+01
   2.000e+00    1.2366206e+04  8.3386584e+01
   2.400e+01    1.3182140e+04  8.4701267e+01
   3.000e+00    1.2769396e+04  8.4028304e+01
   2.100e+01    1.3109148e+04  8.4581092e+01
   4.000e+00    1.2678281e+04  8.3881918e+01
   1.800e+01    1.3156176e+04  8.4658464e+01
   5.000e+00    1.2237236e+04  8.3184644e+01
   1.500e+01    1.3146204e+04  8.4642040e+01
   6.000e+00    1.3076624e+04  8.4527705e+01
   1.200e+01    1.2765859e+04  8.4022605e+01
   7.000e+00    1.3048997e+04  8.4482433e+01
   1.000e+01    1.2931636e+04  8.4290915e+01
   8.000e+00    1.2654765e+04  8.3844265e+01
   4.000e+00    1.3278316e+04  8.4860369e+01
   1.000e+00    1.1175952e+04  8.1586000e+01
   2.700e+01    1.2607493e+04  8.3768737e+01
