#
#       Peak Name  Conv_flg Overlap_flg
#          16N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.804     7.860
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1478189e+02  5.8890527e-05
# w1(Hz)        1.8164542e+01  1.5316965e-02
# g1            5.5334594e-01  2.9823898e-03
# f02(ppm)      7.8681499e+00  8.6624833e-06
# w2(Hz)        2.5375232e+01  2.4288957e-02
# g2            3.1880968e-01  2.6654399e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    7.8589396e+04  1.8630918e+02
   3.000e+01    5.3599506e+04  1.7247724e+02
   1.000e+00    3.9930738e+04  1.6681661e+02
   2.700e+01    5.3123359e+04  1.7225579e+02
   2.000e+00    4.4324389e+04  1.6847527e+02
   2.400e+01    5.3446805e+04  1.7240603e+02
   3.000e+00    4.6779185e+04  1.6946945e+02
   2.100e+01    5.2961606e+04  1.7218094e+02
   4.000e+00    4.9728154e+04  1.7072624e+02
   1.800e+01    5.2895070e+04  1.7215022e+02
   5.000e+00    5.0393673e+04  1.7101916e+02
   1.500e+01    5.3059104e+04  1.7222604e+02
   6.000e+00    5.0820739e+04  1.7120890e+02
   1.200e+01    5.2638550e+04  1.7203205e+02
   7.000e+00    5.1485171e+04  1.7150688e+02
   1.000e+01    5.2916625e+04  1.7216017e+02
   8.000e+00    5.1518470e+04  1.7152190e+02
   4.000e+00    4.9436934e+04  1.7059913e+02
   1.000e+00    4.0050704e+04  1.6685981e+02
   2.700e+01    5.3308062e+04  1.7234149e+02
