#
#       Peak Name  Conv_flg Overlap_flg
#          55N-HN         1           9
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   109.086     7.404
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.0908229e+02  9.3125199e-05
# w1(Hz)        1.4181152e+01  1.2970902e-02
# g1            7.1974506e-01  4.1823501e-03
# f02(ppm)      7.4013079e+00  1.3574203e-05
# w2(Hz)        1.6370325e+01  1.5994571e-02
# g2            7.7758162e-01  5.6980819e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.5068881e+04  1.6531790e+02
   3.000e+01    3.8746220e+04  1.4864397e+02
   1.000e+00    3.8208895e+04  1.4467342e+02
   2.800e+01    3.8698066e+04  1.4883939e+02
   2.000e+00    3.8274840e+04  1.4633367e+02
   2.600e+01    3.8650938e+04  1.4865349e+02
   3.000e+00    3.8486817e+04  1.4668344e+02
   2.400e+01    3.8868906e+04  1.4900917e+02
   4.000e+00    3.8451879e+04  1.4753822e+02
   2.200e+01    3.8759535e+04  1.4950246e+02
   5.000e+00    3.8496869e+04  1.4775277e+02
   2.000e+01    3.8731117e+04  1.4934182e+02
   6.000e+00    3.8371098e+04  1.4805845e+02
   1.800e+01    3.8703309e+04  1.4988940e+02
   7.000e+00    3.8770844e+04  1.4816797e+02
   1.600e+01    3.8833860e+04  1.4886008e+02
   8.000e+00    3.8374500e+04  1.4805911e+02
   1.400e+01    3.8772017e+04  1.4949037e+02
   9.000e+00    3.8526889e+04  1.4862862e+02
   1.300e+01    3.8760457e+04  1.4919932e+02
   1.000e+01    3.8747515e+04  1.4880291e+02
   1.200e+01    3.8747481e+04  1.4862915e+02
   1.100e+01    3.8793809e+04  1.4949769e+02
   2.000e+00    3.8258176e+04  1.4616977e+02
   2.800e+01    3.8934488e+04  1.4908934e+02
   8.000e+00    3.8661303e+04  1.4845433e+02
