#
#       Peak Name  Conv_flg Overlap_flg
#          58N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   111.537     8.496
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1154566e+02  1.1075936e-04
# w1(Hz)        1.3851210e+01  1.7705944e-02
# g1            7.1303865e-01  5.7308727e-03
# f02(ppm)      8.4951985e+00  1.3174496e-05
# w2(Hz)        1.6006968e+01  2.0923320e-02
# g2            6.0124942e-01  4.9451069e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    5.8447281e+04  2.1716288e+02
   3.000e+01    5.1857140e+04  2.0848759e+02
   1.000e+00    5.1116956e+04  2.0755695e+02
   2.800e+01    5.1819680e+04  2.0844027e+02
   2.000e+00    5.1566400e+04  2.0812094e+02
   2.600e+01    5.1459106e+04  2.0798599e+02
   3.000e+00    5.1399776e+04  2.0791145e+02
   2.400e+01    5.1774673e+04  2.0838344e+02
   4.000e+00    5.1861387e+04  2.0849295e+02
   2.200e+01    5.1735172e+04  2.0833360e+02
   5.000e+00    5.1742290e+04  2.0834258e+02
   2.000e+01    5.1860844e+04  2.0849227e+02
   6.000e+00    5.1540254e+04  2.0808804e+02
   1.800e+01    5.1916109e+04  2.0856212e+02
   7.000e+00    5.1538022e+04  2.0808523e+02
   1.600e+01    5.1892751e+04  2.0853259e+02
   8.000e+00    5.1902763e+04  2.0854525e+02
   1.400e+01    5.1723348e+04  2.0831869e+02
   9.000e+00    5.1845905e+04  2.0847339e+02
   1.300e+01    5.1875466e+04  2.0851074e+02
   1.000e+01    5.1920073e+04  2.0856714e+02
   1.200e+01    5.1924605e+04  2.0857287e+02
   1.100e+01    5.1931135e+04  2.0858112e+02
   2.000e+00    5.1693187e+04  2.0828066e+02
   2.800e+01    5.1790193e+04  2.0840304e+02
   8.000e+00    5.1780809e+04  2.0839119e+02
