#
#       Peak Name  Conv_flg Overlap_flg
#           8N-HN         1           0
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   113.882     7.407
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1388480e+02  1.5300940e-04
# w1(Hz)        1.6199857e+01  2.6417443e-02
# g1            5.4498436e-01  6.9706620e-03
# f02(ppm)      7.4071801e+00  1.6712223e-05
# w2(Hz)        1.7387865e+01  2.7684475e-02
# g2            5.1479352e-01  5.8074325e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.9553583e+04  2.1486202e+02
   3.000e+01    4.3777499e+04  2.0478088e+02
   1.000e+00    3.7210573e+04  1.9432761e+02
   2.800e+01    4.3546804e+04  2.0439464e+02
   2.000e+00    3.8952884e+04  1.9698793e+02
   2.600e+01    4.3251351e+04  2.0390205e+02
   3.000e+00    4.0573657e+04  1.9953772e+02
   2.400e+01    4.3465707e+04  2.0425938e+02
   4.000e+00    4.1387631e+04  2.0084484e+02
   2.200e+01    4.3749726e+04  2.0473419e+02
   5.000e+00    4.2296799e+04  2.0232518e+02
   2.000e+01    4.3704452e+04  2.0465836e+02
   6.000e+00    4.2910126e+04  2.0333576e+02
   1.800e+01    4.3543914e+04  2.0438984e+02
   7.000e+00    4.2949081e+04  2.0340046e+02
   1.600e+01    4.3393876e+04  2.0413936e+02
   8.000e+00    4.3062026e+04  2.0358746e+02
   1.400e+01    4.3470240e+04  2.0426673e+02
   9.000e+00    4.3273492e+04  2.0393874e+02
   1.300e+01    4.3165356e+04  2.0375915e+02
   1.000e+01    4.3375869e+04  2.0410942e+02
   1.200e+01    4.3345740e+04  2.0405914e+02
   1.100e+01    4.3447750e+04  2.0422924e+02
   2.000e+00    3.9144460e+04  1.9728554e+02
   2.800e+01    4.3415835e+04  2.0417609e+02
   8.000e+00    4.3286465e+04  2.0396051e+02
