#
#       Peak Name  Conv_flg Overlap_flg
#           9N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.235     8.352
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1932558e+02  1.1480158e-04
# w1(Hz)        1.4648196e+01  1.8406322e-02
# g1            7.5035200e-01  6.3786331e-03
# f02(ppm)      8.3445747e+00  1.5775051e-05
# w2(Hz)        1.8661706e+01  2.7836058e-02
# g2            3.3151195e-01  4.7292155e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.1730318e+04  1.7479883e+02
   3.000e+01    3.8919226e+04  1.7089963e+02
   1.000e+00    3.6981627e+04  1.6832198e+02
   2.700e+01    3.8901066e+04  1.7087504e+02
   2.000e+00    3.7691107e+04  1.6925508e+02
   2.400e+01    3.9022111e+04  1.7103906e+02
   3.000e+00    3.8131730e+04  1.6984086e+02
   2.100e+01    3.8883504e+04  1.7085127e+02
   4.000e+00    3.8745314e+04  1.7066451e+02
   1.800e+01    3.8534169e+04  1.7038005e+02
   5.000e+00    3.8492557e+04  1.7032411e+02
   1.500e+01    3.9097444e+04  1.7114132e+02
   6.000e+00    3.8681663e+04  1.7057865e+02
   1.200e+01    3.8882335e+04  1.7084969e+02
   7.000e+00    3.8742621e+04  1.7066088e+02
   1.000e+01    3.8719618e+04  1.7062984e+02
   8.000e+00    3.8665073e+04  1.7055628e+02
   4.000e+00    3.8717643e+04  1.7062717e+02
   1.000e+00    3.7336592e+04  1.6878725e+02
   2.700e+01    3.8953414e+04  1.7094593e+02
