#
#       Peak Name  Conv_flg Overlap_flg
#         159N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   111.966     6.659
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1196834e+02  2.1008514e-04
# w1(Hz)        2.9015851e+01  5.7945760e-02
# g1            7.7831442e-01  1.2834521e-02
# f02(ppm)      6.6599690e+00  1.1406836e-05
# w2(Hz)        1.5239714e+01  2.7947538e-02
# g2            6.0750346e-01  6.2087885e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.3323966e+04  9.1760970e+01
   3.000e+01    1.2535399e+04  8.9697164e+01
   1.000e+00    1.0175486e+04  8.4031532e+01
   2.700e+01    1.2244905e+04  8.8957182e+01
   2.000e+00    1.1456299e+04  8.7006453e+01
   2.400e+01    1.2127172e+04  8.8660495e+01
   3.000e+00    1.1926649e+04  8.8159533e+01
   2.100e+01    1.2050661e+04  8.8468700e+01
   4.000e+00    1.2485495e+04  8.9569243e+01
   1.800e+01    1.2483105e+04  8.9563126e+01
   5.000e+00    1.1741266e+04  8.7701337e+01
   1.500e+01    1.2213062e+04  8.8876754e+01
   6.000e+00    1.1871452e+04  8.8022605e+01
   1.200e+01    1.2732893e+04  9.0206584e+01
   7.000e+00    1.1877811e+04  8.8038359e+01
   1.000e+01    1.1922923e+04  8.8150276e+01
   8.000e+00    1.1864164e+04  8.8004561e+01
   4.000e+00    1.1735575e+04  8.7687352e+01
   1.000e+00    1.0464074e+04  8.4679903e+01
   2.700e+01    1.2472645e+04  8.9536359e+01
