#
#       Peak Name  Conv_flg Overlap_flg
#          56N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.502     8.550
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1451702e+02  9.3832180e-05
# w1(Hz)        1.6071618e+01  2.2700514e-02
# g1            7.4208556e-01  5.7306857e-03
# f02(ppm)      8.5496200e+00  1.0971327e-05
# w2(Hz)        1.7968039e+01  2.7811402e-02
# g2            5.1882457e-01  4.8424371e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    8.7250766e+04  3.9714442e+02
   3.000e+01    8.0348960e+04  3.8981930e+02
   1.000e+00    8.0180026e+04  3.8964592e+02
   2.700e+01    8.0420069e+04  3.8989236e+02
   2.000e+00    7.9500154e+04  3.8895105e+02
   2.400e+01    8.0343973e+04  3.8981417e+02
   3.000e+00    7.9831161e+04  3.8928877e+02
   2.100e+01    8.0364903e+04  3.8983567e+02
   4.000e+00    7.9454997e+04  3.8890506e+02
   1.800e+01    8.0219589e+04  3.8968649e+02
   5.000e+00    8.0270253e+04  3.8973848e+02
   1.500e+01    8.0377466e+04  3.8984858e+02
   6.000e+00    7.9989155e+04  3.8945036e+02
   1.200e+01    8.0306308e+04  3.8977549e+02
   7.000e+00    8.0385625e+04  3.8985696e+02
   1.000e+01    7.9965726e+04  3.8942638e+02
   8.000e+00    7.9746565e+04  3.8920235e+02
   4.000e+00    8.0014751e+04  3.8947656e+02
   1.000e+00    7.9993392e+04  3.8945469e+02
   2.700e+01    8.0060552e+04  3.8952346e+02
