#
#       Peak Name  Conv_flg Overlap_flg
#         159N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   112.299     6.630
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1229529e+02  6.2968870e-04
# w1(Hz)        2.5132040e+01  1.1113874e-01
# g1            6.8421644e-01  4.3850666e-02
# f02(ppm)      6.6263133e+00  3.5381020e-05
# w2(Hz)        1.4992008e+01  5.2037876e-02
# g2            9.5458292e-01  1.8910471e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    3.6665818e+03  7.2486402e+01
   3.000e+01    3.4150930e+03  6.9315316e+01
   1.000e+00    3.2197357e+03  6.6913021e+01
   2.700e+01    3.4235871e+03  6.9421034e+01
   2.000e+00    3.5027318e+03  7.0410847e+01
   2.400e+01    3.5892781e+03  7.1502860e+01
   3.000e+00    3.2142316e+03  6.6846179e+01
   2.100e+01    3.5130418e+03  7.0540416e+01
   4.000e+00    3.5566791e+03  7.1090380e+01
   1.800e+01    3.6505379e+03  7.2281661e+01
   5.000e+00    3.3893860e+03  6.8995999e+01
   1.500e+01    3.4231707e+03  6.9415845e+01
   6.000e+00    3.4596367e+03  6.9870815e+01
   1.200e+01    3.5481432e+03  7.0982604e+01
   7.000e+00    3.3548190e+03  6.8568121e+01
   1.000e+01    3.1180958e+03  6.5686432e+01
   8.000e+00    3.5005738e+03  7.0383746e+01
   4.000e+00    3.2193402e+03  6.6908217e+01
   1.000e+00    2.8534082e+03  6.2575038e+01
   2.700e+01    3.2562202e+03  6.7357309e+01
