#
#       Peak Name  Conv_flg Overlap_flg
#          24N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   123.538     8.547
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2354098e+02  1.0277342e-04
# w1(Hz)        1.4137917e+01  1.6401486e-02
# g1            7.4583553e-01  5.4612718e-03
# f02(ppm)      8.5463901e+00  1.1841176e-05
# w2(Hz)        1.5829774e+01  1.8714055e-02
# g2            6.2953370e-01  4.6049152e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    3.8313401e+04  1.4436456e+02
   3.000e+01    3.5605417e+04  1.4122675e+02
   1.000e+00    3.5449386e+04  1.4105092e+02
   2.700e+01    3.5485368e+04  1.4109142e+02
   2.000e+00    3.5543775e+04  1.4115722e+02
   2.400e+01    3.5677022e+04  1.4130763e+02
   3.000e+00    3.5684424e+04  1.4131599e+02
   2.100e+01    3.5482601e+04  1.4108830e+02
   4.000e+00    3.5508678e+04  1.4111767e+02
   1.800e+01    3.5629939e+04  1.4125443e+02
   5.000e+00    3.5654709e+04  1.4128241e+02
   1.500e+01    3.5536176e+04  1.4114865e+02
   6.000e+00    3.5333719e+04  1.4092093e+02
   1.200e+01    3.5791465e+04  1.4143713e+02
   7.000e+00    3.5611125e+04  1.4123319e+02
   1.000e+01    3.5749916e+04  1.4139008e+02
   8.000e+00    3.5524605e+04  1.4113561e+02
   4.000e+00    3.5402155e+04  1.4099780e+02
   1.000e+00    3.5406806e+04  1.4100303e+02
   2.700e+01    3.5371458e+04  1.4096331e+02
