#    OFFSETS               I           I_err
    -1321.34    2.983021e+07    7.285681e+05
   -1288.914    2.864563e+07    7.285681e+05
   -1256.489    2.949618e+07    7.285681e+05
   -1224.063    2.849734e+07    7.285681e+05
   -1191.638    2.978250e+07    7.285681e+05
   -1159.212    2.848665e+07    7.285681e+05
   -1126.787    2.849845e+07    7.285681e+05
   -1094.361    2.991008e+07    7.285681e+05
   -1061.936    2.922352e+07    7.285681e+05
    -1029.51    2.902907e+07    7.285681e+05
   -997.0848    2.948757e+07    7.285681e+05
   -964.6593    2.912844e+07    7.285681e+05
   -932.2337    2.784043e+07    7.285681e+05
   -899.8082    2.943050e+07    7.285681e+05
   -867.3827    2.923595e+07    7.285681e+05
   -834.9572    2.971828e+07    7.285681e+05
   -802.5316    2.875622e+07    7.285681e+05
   -770.1061    2.992643e+07    7.285681e+05
   -737.6806    2.906294e+07    7.285681e+05
    -11000.0    5.295358e+07    7.285681e+05
   -705.2551    2.843936e+07    7.285681e+05
   -672.8296    2.932348e+07    7.285681e+05
    -640.404    2.909933e+07    7.285681e+05
   -607.9785    2.903065e+07    7.285681e+05
    -575.553    2.853530e+07    7.285681e+05
   -543.1275    2.995470e+07    7.285681e+05
    -510.702    2.806012e+07    7.285681e+05
   -478.2764    2.504900e+07    7.285681e+05
   -445.8509    2.227439e+07    7.285681e+05
   -413.4254   -3.392149e+06    7.285681e+05
   -380.9999    2.423823e+07    7.285681e+05
   -348.5744    2.720940e+07    7.285681e+05
   -316.1488    2.840306e+07    7.285681e+05
   -283.7233    2.854689e+07    7.285681e+05
   -251.2978    2.944305e+07    7.285681e+05
   -218.8723    2.957891e+07    7.285681e+05
   -186.4467    2.864095e+07    7.285681e+05
   -154.0212    2.812761e+07    7.285681e+05
   -121.5957    2.929507e+07    7.285681e+05
    -11000.0    5.342106e+07    7.285681e+05
   -89.17018    2.867188e+07    7.285681e+05
   -56.74466    2.856699e+07    7.285681e+05
   -24.31914    3.040370e+07    7.285681e+05
     8.10638    2.929957e+07    7.285681e+05
     40.5319    2.826385e+07    7.285681e+05
    72.95742    2.882349e+07    7.285681e+05
    105.3829    2.959657e+07    7.285681e+05
    137.8085    2.908882e+07    7.285681e+05
     170.234    2.908428e+07    7.285681e+05
    202.6595    2.736047e+07    7.285681e+05
     235.085    2.960070e+07    7.285681e+05
    267.5105    2.931803e+07    7.285681e+05
    299.9361    2.829160e+07    7.285681e+05
    332.3616    2.861639e+07    7.285681e+05
    364.7871    2.961199e+07    7.285681e+05
    397.2126    2.849556e+07    7.285681e+05
    429.6382    2.909713e+07    7.285681e+05
    462.0637    2.966420e+07    7.285681e+05
    494.4892    2.929756e+07    7.285681e+05
    -11000.0    5.301109e+07    7.285681e+05
    526.9147    2.892363e+07    7.285681e+05
    559.3402    2.954523e+07    7.285681e+05
    591.7658    2.947365e+07    7.285681e+05
    624.1913    2.835151e+07    7.285681e+05
    656.6168    2.911670e+07    7.285681e+05
    689.0423    2.870992e+07    7.285681e+05
    721.4678    2.986159e+07    7.285681e+05
    753.8934    2.976748e+07    7.285681e+05
    786.3189    2.886280e+07    7.285681e+05
    818.7444    2.858407e+07    7.285681e+05
    851.1699    2.842592e+07    7.285681e+05
    883.5955    2.865385e+07    7.285681e+05
     916.021    2.889102e+07    7.285681e+05
    948.4465    2.858092e+07    7.285681e+05
     980.872    2.959390e+07    7.285681e+05
    1013.298    2.921634e+07    7.285681e+05
    1045.723    3.033918e+07    7.285681e+05
    1078.149    2.918414e+07    7.285681e+05
    1110.574    2.842305e+07    7.285681e+05
    -11000.0    5.363700e+07    7.285681e+05
