#Offset (Hz)        Intensity    Uncertainty
  -1.305e+03    7.4587520e+07  7.1473700e+05
  -1.273e+03    7.5497250e+07  7.1473700e+05
  -1.240e+03    7.3961890e+07  7.1473700e+05
  -1.208e+03    7.4584710e+07  7.1473700e+05
  -1.175e+03    7.3514810e+07  7.1473700e+05
  -1.143e+03    7.5058560e+07  7.1473700e+05
  -1.111e+03    7.4729250e+07  7.1473700e+05
  -1.078e+03    7.4135430e+07  7.1473700e+05
  -1.046e+03    7.3736350e+07  7.1473700e+05
  -1.013e+03    7.4457860e+07  7.1473700e+05
  -9.809e+02    7.2890490e+07  7.1473700e+05
  -9.484e+02    7.4040900e+07  7.1473700e+05
  -9.160e+02    7.3880410e+07  7.1473700e+05
  -8.836e+02    7.3499370e+07  7.1473700e+05
  -8.512e+02    7.4197080e+07  7.1473700e+05
  -8.187e+02    7.5313440e+07  7.1473700e+05
  -7.863e+02    7.3967080e+07  7.1473700e+05
  -7.539e+02    7.4864020e+07  7.1473700e+05
  -7.215e+02    7.4126650e+07  7.1473700e+05
  -1.100e+04    1.3190180e+08  7.1473700e+05
  -6.890e+02    7.3882320e+07  7.1473700e+05
  -6.566e+02    7.4980640e+07  7.1473700e+05
  -6.242e+02    7.4033870e+07  7.1473700e+05
  -5.918e+02    7.5067860e+07  7.1473700e+05
  -5.593e+02    7.4769860e+07  7.1473700e+05
  -5.269e+02    7.3794860e+07  7.1473700e+05
  -4.945e+02    7.3501220e+07  7.1473700e+05
  -4.621e+02    7.3446840e+07  7.1473700e+05
  -4.296e+02    7.3613020e+07  7.1473700e+05
  -3.972e+02    7.4256970e+07  7.1473700e+05
  -3.648e+02    7.4326420e+07  7.1473700e+05
  -3.324e+02    7.4244130e+07  7.1473700e+05
  -2.999e+02    7.3685400e+07  7.1473700e+05
  -2.675e+02    7.3689420e+07  7.1473700e+05
  -2.351e+02    7.4775480e+07  7.1473700e+05
  -2.027e+02    7.3190850e+07  7.1473700e+05
  -1.702e+02    7.3184880e+07  7.1473700e+05
  -1.378e+02    7.3996590e+07  7.1473700e+05
  -1.054e+02    7.1823410e+07  7.1473700e+05
  -1.100e+04    1.3276130e+08  7.1473700e+05
  -7.296e+01    7.2016260e+07  7.1473700e+05
  -4.053e+01    6.4316750e+07  7.1473700e+05
  -8.106e+00    1.3166200e+07  7.1473700e+05
   2.432e+01    2.6291450e+07  7.1473700e+05
   5.674e+01    3.2875040e+07  7.1473700e+05
   8.917e+01    3.7674500e+07  7.1473700e+05
   1.216e+02    6.7623730e+07  7.1473700e+05
   1.540e+02    7.1979050e+07  7.1473700e+05
   1.864e+02    7.2840050e+07  7.1473700e+05
   2.189e+02    7.2863300e+07  7.1473700e+05
   2.513e+02    7.4309090e+07  7.1473700e+05
   2.837e+02    7.3169860e+07  7.1473700e+05
   3.161e+02    7.4299950e+07  7.1473700e+05
   3.486e+02    7.3880880e+07  7.1473700e+05
   3.810e+02    7.3803500e+07  7.1473700e+05
   4.134e+02    7.2206040e+07  7.1473700e+05
   4.459e+02    7.4530210e+07  7.1473700e+05
   4.783e+02    7.5288040e+07  7.1473700e+05
   5.107e+02    7.5457470e+07  7.1473700e+05
  -1.100e+04    1.3385400e+08  7.1473700e+05
   5.431e+02    7.4531570e+07  7.1473700e+05
   5.756e+02    7.5556970e+07  7.1473700e+05
   6.080e+02    7.4266960e+07  7.1473700e+05
   6.404e+02    7.3072260e+07  7.1473700e+05
   6.728e+02    7.3956470e+07  7.1473700e+05
   7.053e+02    7.4729850e+07  7.1473700e+05
   7.377e+02    7.4432910e+07  7.1473700e+05
   7.701e+02    7.3664700e+07  7.1473700e+05
   8.025e+02    7.3172190e+07  7.1473700e+05
   8.350e+02    7.4500410e+07  7.1473700e+05
   8.674e+02    7.3945890e+07  7.1473700e+05
   8.998e+02    7.2971740e+07  7.1473700e+05
   9.322e+02    7.4780560e+07  7.1473700e+05
   9.647e+02    7.4016890e+07  7.1473700e+05
   9.971e+02    7.4277410e+07  7.1473700e+05
   1.030e+03    7.4878450e+07  7.1473700e+05
   1.062e+03    7.3857100e+07  7.1473700e+05
   1.094e+03    7.5118300e+07  7.1473700e+05
   1.127e+03    7.3961670e+07  7.1473700e+05
  -1.100e+04    1.3265510e+08  7.1473700e+05
