#    OFFSETS               I           I_err
    -1321.34    2.266352e+07    4.822043e+05
   -1297.021    2.267999e+07    4.822043e+05
   -1272.702    2.285708e+07    4.822043e+05
   -1248.383    2.275576e+07    4.822043e+05
   -1224.063    2.240070e+07    4.822043e+05
   -1199.744    2.268551e+07    4.822043e+05
   -1175.425    2.297565e+07    4.822043e+05
   -1151.106    2.240098e+07    4.822043e+05
   -1126.787    2.269648e+07    4.822043e+05
   -1102.468    2.294279e+07    4.822043e+05
   -1078.149    2.210743e+07    4.822043e+05
   -1053.829    2.341665e+07    4.822043e+05
    -1029.51    2.256117e+07    4.822043e+05
   -1005.191    2.326771e+07    4.822043e+05
    -980.872    2.317661e+07    4.822043e+05
   -956.5529    2.274182e+07    4.822043e+05
   -932.2337    2.208485e+07    4.822043e+05
   -907.9146    2.225141e+07    4.822043e+05
   -883.5955    2.310659e+07    4.822043e+05
    -11000.0    4.107852e+07    4.822043e+05
   -859.2763    2.178017e+07    4.822043e+05
   -834.9572    2.234733e+07    4.822043e+05
    -810.638    2.291893e+07    4.822043e+05
   -786.3189    2.177645e+07    4.822043e+05
   -761.9997    2.279914e+07    4.822043e+05
   -737.6806    2.282174e+07    4.822043e+05
   -713.3615    2.275432e+07    4.822043e+05
   -689.0423    2.226668e+07    4.822043e+05
   -664.7232    2.188781e+07    4.822043e+05
    -640.404    2.280019e+07    4.822043e+05
   -616.0849    2.304918e+07    4.822043e+05
   -591.7658    2.223540e+07    4.822043e+05
   -567.4466    2.201490e+07    4.822043e+05
   -543.1275    2.337498e+07    4.822043e+05
   -518.8083    2.220807e+07    4.822043e+05
   -494.4892    2.287517e+07    4.822043e+05
   -470.1701    2.350145e+07    4.822043e+05
   -445.8509    2.187640e+07    4.822043e+05
   -421.5318    2.233308e+07    4.822043e+05
    -11000.0    4.033255e+07    4.822043e+05
   -397.2126    2.262216e+07    4.822043e+05
   -372.8935    2.333279e+07    4.822043e+05
   -348.5744    2.293469e+07    4.822043e+05
   -324.2552    2.349758e+07    4.822043e+05
   -299.9361    2.292165e+07    4.822043e+05
   -275.6169    2.243073e+07    4.822043e+05
   -251.2978    2.238537e+07    4.822043e+05
   -226.9786    2.180124e+07    4.822043e+05
   -202.6595    2.204800e+07    4.822043e+05
   -178.3404    2.240645e+07    4.822043e+05
   -154.0212    2.162466e+07    4.822043e+05
   -129.7021    2.007831e+07    4.822043e+05
   -105.3829    1.659012e+07    4.822043e+05
    -81.0638    1.129946e+07    4.822043e+05
   -56.74466   -4.389650e+05    4.822043e+05
   -32.42552    9.495377e+06    4.822043e+05
    -8.10638    1.764130e+07    4.822043e+05
    16.21276    2.035246e+07    4.822043e+05
     40.5319    2.144185e+07    4.822043e+05
    -11000.0    4.024218e+07    4.822043e+05
    64.85104    2.103797e+07    4.822043e+05
    89.17018    2.103322e+07    4.822043e+05
    113.4893    2.132561e+07    4.822043e+05
    137.8085    2.256684e+07    4.822043e+05
    162.1276    2.243050e+07    4.822043e+05
    186.4467    2.203029e+07    4.822043e+05
    210.7659    2.313016e+07    4.822043e+05
     235.085    2.159680e+07    4.822043e+05
    259.4042    2.254802e+07    4.822043e+05
    283.7233    2.212124e+07    4.822043e+05
    308.0425    2.202106e+07    4.822043e+05
    332.3616    2.271692e+07    4.822043e+05
    356.6807    2.189053e+07    4.822043e+05
    380.9999    2.288557e+07    4.822043e+05
     405.319    2.245823e+07    4.822043e+05
    429.6382    2.233936e+07    4.822043e+05
    453.9573    2.318763e+07    4.822043e+05
    478.2764    2.282702e+07    4.822043e+05
    502.5956    2.247335e+07    4.822043e+05
    -11000.0    4.005924e+07    4.822043e+05
    526.9147    2.224420e+07    4.822043e+05
    551.2339    2.307867e+07    4.822043e+05
     575.553    2.285181e+07    4.822043e+05
    599.8721    2.307837e+07    4.822043e+05
    624.1913    2.221827e+07    4.822043e+05
    648.5104    2.231874e+07    4.822043e+05
    672.8296    2.311920e+07    4.822043e+05
    697.1487    2.254718e+07    4.822043e+05
    721.4678    2.213077e+07    4.822043e+05
     745.787    2.279831e+07    4.822043e+05
    770.1061    2.253110e+07    4.822043e+05
    794.4253    2.261154e+07    4.822043e+05
    818.7444    2.280971e+07    4.822043e+05
    843.0636    2.217301e+07    4.822043e+05
    867.3827    2.221868e+07    4.822043e+05
    891.7018    2.201303e+07    4.822043e+05
     916.021    2.277381e+07    4.822043e+05
    940.3401    2.247437e+07    4.822043e+05
    964.6593    2.238776e+07    4.822043e+05
    -11000.0    4.086747e+07    4.822043e+05
    988.9784    2.247541e+07    4.822043e+05
    1013.298    2.266738e+07    4.822043e+05
    1037.617    2.246190e+07    4.822043e+05
    1061.936    2.262370e+07    4.822043e+05
    1086.255    2.248249e+07    4.822043e+05
    1110.574    2.295220e+07    4.822043e+05
