#Offset (Hz)        Intensity    Uncertainty
  -1.321e+03    7.6539880e+06  7.7507460e+05
  -1.297e+03    8.0741930e+06  7.7507460e+05
  -1.273e+03    8.2819950e+06  7.7507460e+05
  -1.248e+03    8.1503960e+06  7.7507460e+05
  -1.224e+03    8.3646690e+06  7.7507460e+05
  -1.200e+03    8.2659710e+06  7.7507460e+05
  -1.175e+03    8.8191750e+06  7.7507460e+05
  -1.151e+03    8.0683480e+06  7.7507460e+05
  -1.127e+03    8.1927520e+06  7.7507460e+05
  -1.102e+03    7.9058380e+06  7.7507460e+05
  -1.078e+03    8.3549270e+06  7.7507460e+05
  -1.054e+03    6.9634230e+06  7.7507460e+05
  -1.030e+03    8.3011570e+06  7.7507460e+05
  -1.005e+03    9.2517260e+06  7.7507460e+05
  -9.809e+02    8.5180040e+06  7.7507460e+05
  -9.566e+02    7.9071390e+06  7.7507460e+05
  -9.322e+02    8.3705200e+06  7.7507460e+05
  -9.079e+02    8.0713000e+06  7.7507460e+05
  -8.836e+02    8.0470480e+06  7.7507460e+05
  -1.100e+04    1.4607420e+07  7.7507460e+05
  -8.593e+02    9.3544660e+06  7.7507460e+05
  -8.350e+02    7.6157860e+06  7.7507460e+05
  -8.106e+02    7.2789990e+06  7.7507460e+05
  -7.863e+02    8.5175520e+06  7.7507460e+05
  -7.620e+02    6.8094190e+06  7.7507460e+05
  -7.377e+02    7.2626200e+06  7.7507460e+05
  -7.134e+02    9.0951590e+06  7.7507460e+05
  -6.890e+02    8.6606580e+06  7.7507460e+05
  -6.647e+02    7.8761720e+06  7.7507460e+05
  -6.404e+02    7.2233110e+06  7.7507460e+05
  -6.161e+02    8.3796030e+06  7.7507460e+05
  -5.918e+02    6.4850820e+06  7.7507460e+05
  -5.674e+02    8.0027600e+06  7.7507460e+05
  -5.431e+02    7.0821490e+06  7.7507460e+05
  -5.188e+02    6.0904270e+06  7.7507460e+05
  -4.945e+02    4.7116030e+06  7.7507460e+05
  -4.702e+02    1.5217650e+06  7.7507460e+05
  -4.459e+02    1.6843900e+06  7.7507460e+05
  -4.215e+02    7.4862020e+06  7.7507460e+05
  -1.100e+04    1.6012670e+07  7.7507460e+05
  -3.972e+02    6.5398310e+06  7.7507460e+05
  -3.729e+02    6.6532280e+06  7.7507460e+05
  -3.486e+02    7.4901800e+06  7.7507460e+05
  -3.243e+02    8.1048500e+06  7.7507460e+05
  -2.999e+02    7.2227930e+06  7.7507460e+05
  -2.756e+02    8.0881920e+06  7.7507460e+05
  -2.513e+02    7.9810850e+06  7.7507460e+05
  -2.270e+02    7.2508850e+06  7.7507460e+05
  -2.027e+02    8.8604030e+06  7.7507460e+05
  -1.783e+02    8.5601300e+06  7.7507460e+05
  -1.540e+02    8.6587010e+06  7.7507460e+05
  -1.297e+02    7.9901000e+06  7.7507460e+05
  -1.054e+02    8.2120280e+06  7.7507460e+05
  -8.106e+01    7.5950050e+06  7.7507460e+05
  -5.674e+01    8.0344460e+06  7.7507460e+05
  -3.243e+01    7.6522200e+06  7.7507460e+05
  -8.106e+00    7.9839120e+06  7.7507460e+05
   1.621e+01    7.6147170e+06  7.7507460e+05
   4.053e+01    8.3947240e+06  7.7507460e+05
  -1.100e+04    1.6086850e+07  7.7507460e+05
   6.485e+01    8.6622020e+06  7.7507460e+05
   8.917e+01    9.2660740e+06  7.7507460e+05
   1.135e+02    7.7551850e+06  7.7507460e+05
   1.378e+02    8.7008770e+06  7.7507460e+05
   1.621e+02    6.6001860e+06  7.7507460e+05
   1.864e+02    7.6536790e+06  7.7507460e+05
   2.108e+02    6.9374900e+06  7.7507460e+05
   2.351e+02    7.4557710e+06  7.7507460e+05
   2.594e+02    8.5569130e+06  7.7507460e+05
   2.837e+02    8.2776550e+06  7.7507460e+05
   3.080e+02    8.3839310e+06  7.7507460e+05
   3.324e+02    6.9943820e+06  7.7507460e+05
   3.567e+02    9.1889960e+06  7.7507460e+05
   3.810e+02    8.3481920e+06  7.7507460e+05
   4.053e+02    6.7440750e+06  7.7507460e+05
   4.296e+02    8.6216960e+06  7.7507460e+05
   4.540e+02    7.0252980e+06  7.7507460e+05
   4.783e+02    8.1417100e+06  7.7507460e+05
   5.026e+02    9.3581370e+06  7.7507460e+05
