#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.5515070e+07  4.9422050e+05
   2.600e+01    3.1241010e+07  4.9422050e+05
  -1.000e+00    2.2105670e+07  4.9422050e+05
   1.000e+00    2.1454160e+07  4.9422050e+05
   0.000e+00    4.5496120e+07  4.9422050e+05
   2.000e+00    2.2446930e+07  4.9422050e+05
   6.000e+00    2.5554190e+07  4.9422050e+05
   8.000e+00    2.7394830e+07  4.9422050e+05
   1.200e+01    2.9254910e+07  4.9422050e+05
   4.000e+00    2.3415590e+07  4.9422050e+05
   2.000e+01    3.0117020e+07  4.9422050e+05
   0.000e+00    4.5222100e+07  4.9422050e+05
   1.600e+01    3.1286740e+07  4.9422050e+05
   6.000e+00    2.4675740e+07  4.9422050e+05
   2.200e+01    3.0726110e+07  4.9422050e+05
   1.400e+01    2.8871880e+07  4.9422050e+05
   2.400e+01    3.0828590e+07  4.9422050e+05
   1.000e+01    2.8876560e+07  4.9422050e+05
   1.800e+01    3.0597930e+07  4.9422050e+05
   1.600e+01    3.0103900e+07  4.9422050e+05
   0.000e+00    4.5020550e+07  4.9422050e+05
   3.000e+00    2.2028970e+07  4.9422050e+05
   2.900e+01    3.0877300e+07  4.9422050e+05
   7.000e+00    2.7032680e+07  4.9422050e+05
   9.000e+00    2.8066980e+07  4.9422050e+05
   9.000e+00    2.8202510e+07  4.9422050e+05
   1.100e+01    2.8325160e+07  4.9422050e+05
   2.500e+01    3.0666040e+07  4.9422050e+05
   1.300e+01    2.9286340e+07  4.9422050e+05
   0.000e+00    4.5323020e+07  4.9422050e+05
   1.500e+01    3.0040840e+07  4.9422050e+05
   1.700e+01    3.1058370e+07  4.9422050e+05
  -1.000e+00    2.0775290e+07  4.9422050e+05
   0.000e+00    4.5397290e+07  4.9422050e+05
   1.000e+00    2.2838570e+07  4.9422050e+05
   3.000e+00    2.2202860e+07  4.9422050e+05
