#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0963670e+08  4.9893570e+05
   2.600e+01    8.9746610e+07  4.9893570e+05
  -1.000e+00    8.1981860e+07  4.9893570e+05
   1.000e+00    8.3144540e+07  4.9893570e+05
   0.000e+00    1.1024430e+08  4.9893570e+05
   2.000e+00    8.2472680e+07  4.9893570e+05
   6.000e+00    8.6057960e+07  4.9893570e+05
   8.000e+00    8.7811710e+07  4.9893570e+05
   1.200e+01    8.8510160e+07  4.9893570e+05
   4.000e+00    8.4171100e+07  4.9893570e+05
   2.000e+01    8.9664430e+07  4.9893570e+05
   0.000e+00    1.1010350e+08  4.9893570e+05
   1.600e+01    8.6004480e+07  4.9893570e+05
   6.000e+00    8.5523830e+07  4.9893570e+05
   2.200e+01    8.8435090e+07  4.9893570e+05
   1.400e+01    8.9319060e+07  4.9893570e+05
   2.400e+01    8.8219160e+07  4.9893570e+05
   1.000e+01    8.8199700e+07  4.9893570e+05
   1.800e+01    8.7342590e+07  4.9893570e+05
   1.600e+01    8.9175660e+07  4.9893570e+05
   0.000e+00    1.0996990e+08  4.9893570e+05
   3.000e+00    8.2480340e+07  4.9893570e+05
   2.900e+01    9.0385030e+07  4.9893570e+05
   7.000e+00    8.6046800e+07  4.9893570e+05
   9.000e+00    8.7860870e+07  4.9893570e+05
   9.000e+00    8.8433790e+07  4.9893570e+05
   1.100e+01    8.8305080e+07  4.9893570e+05
   2.500e+01    8.9133520e+07  4.9893570e+05
   1.300e+01    8.8273310e+07  4.9893570e+05
   0.000e+00    1.0961440e+08  4.9893570e+05
   1.500e+01    8.9516580e+07  4.9893570e+05
   1.700e+01    8.8879480e+07  4.9893570e+05
  -1.000e+00    8.2785880e+07  4.9893570e+05
   0.000e+00    1.1035030e+08  4.9893570e+05
   1.000e+00    8.2808560e+07  4.9893570e+05
   3.000e+00    8.2904360e+07  4.9893570e+05
