#       NCYC               I           I_err
           0    1.196130e+08    4.749415e+05
          26    1.023946e+08    4.749415e+05
          -1    1.013945e+08    4.749415e+05
           1    1.017221e+08    4.749415e+05
           0    1.192940e+08    4.749415e+05
           2    1.016477e+08    4.749415e+05
           6    1.024023e+08    4.749415e+05
           8    1.026609e+08    4.749415e+05
          12    1.027905e+08    4.749415e+05
           4    1.025065e+08    4.749415e+05
          20    1.021779e+08    4.749415e+05
           0    1.198575e+08    4.749415e+05
          16    1.010949e+08    4.749415e+05
           6    1.022688e+08    4.749415e+05
          22    1.029518e+08    4.749415e+05
          14    1.017652e+08    4.749415e+05
          24    1.021480e+08    4.749415e+05
          10    1.014881e+08    4.749415e+05
          18    1.013017e+08    4.749415e+05
          16    1.018628e+08    4.749415e+05
           0    1.187726e+08    4.749415e+05
           3    1.023725e+08    4.749415e+05
          29    1.028820e+08    4.749415e+05
           7    1.023504e+08    4.749415e+05
           9    1.018610e+08    4.749415e+05
           9    1.021297e+08    4.749415e+05
          11    1.018280e+08    4.749415e+05
          25    1.030140e+08    4.749415e+05
          13    1.022979e+08    4.749415e+05
           0    1.189257e+08    4.749415e+05
          15    1.021899e+08    4.749415e+05
          17    1.007842e+08    4.749415e+05
          -1    1.018935e+08    4.749415e+05
           0    1.198503e+08    4.749415e+05
           1    1.021745e+08    4.749415e+05
           3    1.009982e+08    4.749415e+05
