#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0000000e+00  1.7000000e-03
   3.000e+01    2.5392740e-01  1.7403000e-03
   1.000e+00    2.2735680e-01  1.6838440e-03
   2.600e+01    2.5241880e-01  1.7374810e-03
   2.000e+00    2.3107980e-01  1.6926510e-03
   2.200e+01    2.5034120e-01  1.7335260e-03
   3.000e+00    2.3400750e-01  1.6993650e-03
   1.800e+01    2.4904920e-01  1.7310230e-03
   4.000e+00    2.3716170e-01  1.7063940e-03
   1.600e+01    2.4814130e-01  1.7292430e-03
   6.000e+00    2.3967210e-01  1.7118380e-03
   1.400e+01    2.4691400e-01  1.7268120e-03
   8.000e+00    2.4232220e-01  1.7174430e-03
   1.000e+01    2.4435060e-01  1.7216350e-03
   1.200e+01    2.4549960e-01  1.7239720e-03
   2.000e+00    2.3075940e-01  1.6919040e-03
   1.600e+01    2.4831390e-01  1.7295830e-03
