#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0000000e+00  1.5000000e-03
   3.000e+01    1.7482880e-01  1.5244620e-03
   1.000e+00    1.5328110e-01  1.4373800e-03
   2.600e+01    1.7351700e-01  1.5195580e-03
   2.000e+00    1.5798990e-01  1.4576340e-03
   2.200e+01    1.7300830e-01  1.5176420e-03
   3.000e+00    1.5857530e-01  1.4601020e-03
   1.800e+01    1.6920820e-01  1.5030980e-03
   4.000e+00    1.6161190e-01  1.4727350e-03
   1.600e+01    1.6913860e-01  1.5028280e-03
   6.000e+00    1.6311890e-01  1.4788980e-03
   1.400e+01    1.6922260e-01  1.5031540e-03
   8.000e+00    1.6503710e-01  1.4866420e-03
   1.000e+01    1.6769940e-01  1.4972050e-03
   1.200e+01    1.6698600e-01  1.4943950e-03
   2.000e+00    1.5765070e-01  1.4561990e-03
   1.600e+01    1.6858950e-01  1.5006900e-03
