#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0000000e+00  2.0000000e-03
   3.000e+01    1.8568490e-01  2.0321500e-03
   1.000e+00    1.1967180e-01  1.6514130e-03
   2.600e+01    1.8424600e-01  2.0257190e-03
   2.000e+00    1.2416880e-01  1.6836960e-03
   2.200e+01    1.8099350e-01  2.0109120e-03
   3.000e+00    1.2993680e-01  1.7235590e-03
   1.800e+01    1.7380180e-01  1.9768140e-03
   4.000e+00    1.3024080e-01  1.7256130e-03
   1.600e+01    1.7076860e-01  1.9618580e-03
   6.000e+00    1.3970370e-01  1.7873000e-03
   1.400e+01    1.6619290e-01  1.9386300e-03
   8.000e+00    1.4714060e-01  1.8328400e-03
   1.000e+01    1.5567160e-01  1.8820760e-03
   1.200e+01    1.6194850e-01  1.9163530e-03
   2.000e+00    1.2392340e-01  1.6819620e-03
   1.600e+01    1.7182080e-01  1.9670850e-03
