#
#       Peak Name  Conv_flg Overlap_flg
#         123N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.102     6.873
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1415667e+02  4.1772948e-04
# w1(Hz)        1.9994965e+01  7.2776734e-02
# g1            5.9266878e-01  2.0893818e-02
# f02(ppm)      6.8715783e+00  3.0366050e-05
# w2(Hz)        1.4879338e+01  4.6425408e-02
# g2            7.4105796e-01  1.3613810e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    5.0298584e+03  5.9571014e+01
   3.000e+01    4.2698098e+03  5.5761503e+01
   1.000e+00    3.8469133e+03  5.3814297e+01
   2.700e+01    4.4133271e+03  5.6451820e+01
   2.000e+00    3.8814096e+03  5.3968049e+01
   2.400e+01    4.4375915e+03  5.6569935e+01
   3.000e+00    4.3524078e+03  5.6157052e+01
   2.100e+01    4.9231477e+03  5.9014285e+01
   4.000e+00    4.2948922e+03  5.5881113e+01
   1.800e+01    4.4432473e+03  5.6597527e+01
   5.000e+00    4.6383497e+03  5.7562295e+01
   1.500e+01    4.3117104e+03  5.5961564e+01
   6.000e+00    4.5363448e+03  5.7054751e+01
   1.200e+01    4.1752891e+03  5.5314799e+01
   7.000e+00    4.5183398e+03  5.6965871e+01
   1.000e+01    4.3493792e+03  5.6142466e+01
   8.000e+00    4.3370873e+03  5.6083326e+01
   4.000e+00    4.1850464e+03  5.5360613e+01
   1.000e+00    3.8097170e+03  5.3649560e+01
   2.700e+01    4.1372237e+03  5.5136723e+01
