#
#       Peak Name  Conv_flg Overlap_flg
#          12N-HN         1           2
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   124.929     7.525
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2493401e+02  1.0210904e-04
# w1(Hz)        1.4398167e+01  1.5946402e-02
# g1            7.0143715e-01  5.2562781e-03
# f02(ppm)      7.5242177e+00  1.2969965e-05
# w2(Hz)        1.7517846e+01  2.1600665e-02
# g2            4.3692146e-01  4.4496588e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.3410592e+04  1.6499579e+02
   3.000e+01    3.2876261e+04  1.5196131e+02
   1.000e+00    3.1966528e+04  1.5032132e+02
   2.700e+01    3.2970519e+04  1.5199800e+02
   2.000e+00    3.2491379e+04  1.5087560e+02
   2.400e+01    3.2963319e+04  1.5202251e+02
   3.000e+00    3.2650032e+04  1.5102162e+02
   2.100e+01    3.3001933e+04  1.5196538e+02
   4.000e+00    3.2566276e+04  1.5092736e+02
   1.800e+01    3.3164643e+04  1.5208521e+02
   5.000e+00    3.2870528e+04  1.5124657e+02
   1.500e+01    3.3169213e+04  1.5201917e+02
   6.000e+00    3.2788193e+04  1.5118404e+02
   1.200e+01    3.2768316e+04  1.5147525e+02
   7.000e+00    3.2996667e+04  1.5146303e+02
   1.000e+01    3.3165310e+04  1.5182130e+02
   8.000e+00    3.2872763e+04  1.5134985e+02
   4.000e+00    3.2604521e+04  1.5096787e+02
   1.000e+00    3.2417677e+04  1.5077568e+02
   2.700e+01    3.3224034e+04  1.5230305e+02
