#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.2699989e+03  1.8089583e+02
   3.000e+01    5.7281148e+03  1.4214580e+02
   1.000e+00    2.6907335e+03  1.0587364e+02
   2.700e+01    4.1682712e+03  1.2155088e+02
   2.000e+00    2.4474132e+03  1.0377571e+02
   2.400e+01    4.7843776e+03  1.2928693e+02
   3.000e+00    2.7077304e+03  1.0602605e+02
   2.100e+01    5.6192413e+03  1.4060869e+02
   4.000e+00    3.0716323e+03  1.0945967e+02
   1.800e+01    4.2731156e+03  1.2282503e+02
   5.000e+00    2.4377342e+03  1.0369553e+02
   1.500e+01    4.7843168e+03  1.2928617e+02
   6.000e+00    2.5772164e+03  1.0487542e+02
   1.200e+01    3.3051047e+03  1.1182654e+02
   7.000e+00    2.9508216e+03  1.0828403e+02
   1.000e+01    3.5970511e+03  1.1495265e+02
   8.000e+00    3.5980762e+03  1.1496393e+02
   4.000e+00    2.6067141e+03  1.0513151e+02
   1.000e+00    1.9182476e+03  9.9783099e+01
   2.700e+01    5.4223442e+03  1.3786197e+02
