#
#       Peak Name  Conv_flg Overlap_flg
#           1N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   126.886     8.345
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2687878e+02  1.2772918e-04
# w1(Hz)        1.4569787e+01  2.0769687e-02
# g1            6.9583267e-01  6.5306769e-03
# f02(ppm)      8.3433937e+00  1.4592155e-05
# w2(Hz)        1.6077318e+01  2.3685826e-02
# g2            5.4209873e-01  5.2658305e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    6.1864827e+04  2.6130603e+02
   3.000e+01    5.7861162e+04  2.5544481e+02
   1.000e+00    5.7616237e+04  2.5509477e+02
   2.800e+01    5.7738861e+04  2.5526990e+02
   2.000e+00    5.7378658e+04  2.5475619e+02
   2.600e+01    5.7596575e+04  2.5506671e+02
   3.000e+00    5.7670277e+04  2.5517192e+02
   2.400e+01    5.7651445e+04  2.5514503e+02
   4.000e+00    5.7839160e+04  2.5541333e+02
   2.200e+01    5.7729306e+04  2.5525624e+02
   5.000e+00    5.7963885e+04  2.5559192e+02
   2.000e+01    5.7453155e+04  2.5486225e+02
   6.000e+00    5.7809972e+04  2.5537157e+02
   1.800e+01    5.7730075e+04  2.5525734e+02
   7.000e+00    5.7326690e+04  2.5468225e+02
   1.600e+01    5.7629835e+04  2.5511418e+02
   8.000e+00    5.7647979e+04  2.5514008e+02
   1.400e+01    5.7744717e+04  2.5527827e+02
   9.000e+00    5.7924735e+04  2.5553584e+02
   1.300e+01    5.7782359e+04  2.5533208e+02
   1.000e+01    5.7667479e+04  2.5516792e+02
   1.200e+01    5.7662309e+04  2.5516054e+02
   1.100e+01    5.7772862e+04  2.5531850e+02
   2.000e+00    5.7724596e+04  2.5524951e+02
   2.800e+01    5.7688065e+04  2.5519732e+02
   8.000e+00    5.7495222e+04  2.5492219e+02
