#
#       Peak Name  Conv_flg Overlap_flg
#         253N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   111.164     7.394
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1138270e+02  2.6859710e-03
# w1(Hz)        2.1922835e+01  5.8512605e-01
# g1           -2.3114477e-01  3.7911238e-02
# f02(ppm)      7.4056518e+00  5.7987370e-05
# w2(Hz)        5.5394799e+00  3.1474391e-02
# g2           -1.4925286e+00  1.0753578e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.2265387e+04  4.6950214e+02
   3.000e+01    1.2221522e+04  4.6909580e+02
   1.000e+00    8.2059098e+03  4.3694861e+02
   2.800e+01    1.2286285e+04  4.6969612e+02
   2.000e+00    9.4830312e+03  4.4603329e+02
   2.600e+01    1.1671257e+04  4.6409320e+02
   3.000e+00    1.0104362e+04  4.5085154e+02
   2.400e+01    1.1075249e+04  4.5887759e+02
   4.000e+00    9.4454629e+03  4.4575013e+02
   2.200e+01    1.1650923e+04  4.6391174e+02
   5.000e+00    1.0096379e+04  4.5078803e+02
   2.000e+01    1.1161694e+04  4.5962071e+02
   6.000e+00    1.0539893e+04  4.5437838e+02
   1.800e+01    1.2279271e+04  4.6963101e+02
   7.000e+00    1.0695117e+04  4.5566450e+02
   1.600e+01    1.1635877e+04  4.6377765e+02
   8.000e+00    1.0748684e+04  4.5611184e+02
   1.400e+01    1.1342535e+04  4.6119005e+02
   9.000e+00    1.1032117e+04  4.5850851e+02
   1.300e+01    1.2088620e+04  4.6787141e+02
   1.000e+01    1.1593587e+04  4.6340143e+02
   1.200e+01    1.1807973e+04  4.6531957e+02
   1.100e+01    1.0999834e+04  4.5823304e+02
   2.000e+00    8.9630831e+03  4.4219916e+02
   2.800e+01    1.1758334e+04  4.6487303e+02
   8.000e+00    1.0455938e+04  4.5368911e+02
