#
#       Peak Name  Conv_flg Overlap_flg
#         137N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   128.357     9.599
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2834701e+02  2.7966386e-04
# w1(Hz)        2.1644550e+01  7.1214968e-02
# g1            7.5508380e-01  1.5622033e-02
# f02(ppm)      9.5965272e+00  3.4453054e-05
# w2(Hz)        2.3271145e+01  1.0971632e-01
# g2            3.5077910e-02  8.6458214e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.1374917e+04  3.5410333e+02
   3.000e+01    3.7636353e+04  3.4208937e+02
   1.000e+00    3.3986215e+04  3.3109302e+02
   2.700e+01    3.7091496e+04  3.4040013e+02
   2.000e+00    3.5024524e+04  3.3414295e+02
   2.400e+01    3.7181050e+04  3.4067666e+02
   3.000e+00    3.5152959e+04  3.3452463e+02
   2.100e+01    3.7611347e+04  3.4201149e+02
   4.000e+00    3.6115868e+04  3.3741648e+02
   1.800e+01    3.6879668e+04  3.3974781e+02
   5.000e+00    3.5564736e+04  3.3575477e+02
   1.500e+01    3.6778844e+04  3.3943819e+02
   6.000e+00    3.6992909e+04  3.4009622e+02
   1.200e+01    3.7267483e+04  3.4094397e+02
   7.000e+00    3.6200222e+04  3.3767233e+02
   1.000e+01    3.6561126e+04  3.3877155e+02
   8.000e+00    3.7322127e+04  3.4111318e+02
   4.000e+00    3.6006439e+04  3.3708516e+02
   1.000e+00    3.3576377e+04  3.2990688e+02
   2.700e+01    3.7538341e+04  3.4178431e+02
