#
#       Peak Name  Conv_flg Overlap_flg
#          19N-HN         1           0
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.645     7.272
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1464732e+02  1.1754583e-04
# w1(Hz)        1.8072925e+01  3.0488668e-02
# g1            5.5157702e-01  5.8438092e-03
# f02(ppm)      7.2719804e+00  1.2298297e-05
# w2(Hz)        1.8078669e+01  3.3149454e-02
# g2            3.5976782e-01  4.8024082e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    8.9337922e+04  3.5416624e+02
   3.000e+01    7.8428767e+04  3.4034330e+02
   1.000e+00    7.1894904e+04  3.3268620e+02
   2.700e+01    7.8533244e+04  3.4046972e+02
   2.000e+00    7.4841661e+04  3.3607789e+02
   2.400e+01    7.8439952e+04  3.4035686e+02
   3.000e+00    7.6034346e+04  3.3747981e+02
   2.100e+01    7.9309657e+04  3.4141230e+02
   4.000e+00    7.6930684e+04  3.3854400e+02
   1.800e+01    7.9048744e+04  3.4109468e+02
   5.000e+00    7.6830306e+04  3.3842488e+02
   1.500e+01    7.8348434e+04  3.4024621e+02
   6.000e+00    7.8215347e+04  3.4008471e+02
   1.200e+01    7.8608161e+04  3.4056018e+02
   7.000e+00    7.7512579e+04  3.3924007e+02
   1.000e+01    7.8975627e+04  3.4100560e+02
   8.000e+00    7.8068275e+04  3.3990782e+02
   4.000e+00    7.7184660e+04  3.3884702e+02
   1.000e+00    7.2104258e+04  3.3292373e+02
   2.700e+01    7.8856780e+04  3.4086157e+02
