#
#       Peak Name  Conv_flg Overlap_flg
#          44N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.301     6.767
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1429677e+02  2.2000442e-04
# w1(Hz)        1.6951434e+01  5.4843892e-02
# g1            6.6319971e-01  1.2336631e-02
# f02(ppm)      6.7665864e+00  2.5654866e-05
# w2(Hz)        1.8897068e+01  6.6752480e-02
# g2            4.5330000e-01  1.0376520e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    7.4787101e+04  6.0736398e+02
   3.000e+01    6.4274899e+04  5.7856775e+02
   1.000e+00    6.4182491e+04  5.7832806e+02
   2.700e+01    6.4113929e+04  5.7815038e+02
   2.000e+00    6.4059412e+04  5.7800920e+02
   2.400e+01    6.4258549e+04  5.7852534e+02
   3.000e+00    6.3839453e+04  5.7744041e+02
   2.100e+01    6.4586347e+04  5.7937745e+02
   4.000e+00    6.4483550e+04  5.7910989e+02
   1.800e+01    6.4493701e+04  5.7913631e+02
   5.000e+00    6.4459143e+04  5.7904642e+02
   1.500e+01    6.4668704e+04  5.7959202e+02
   6.000e+00    6.4248769e+04  5.7849997e+02
   1.200e+01    6.5213584e+04  5.8101650e+02
   7.000e+00    6.3639864e+04  5.7692550e+02
   1.000e+01    6.4774841e+04  5.7986883e+02
   8.000e+00    6.4498698e+04  5.7914931e+02
   4.000e+00    6.4387988e+04  5.7886145e+02
   1.000e+00    6.3371745e+04  5.7623562e+02
   2.700e+01    6.4888379e+04  5.8016530e+02
