#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1027017e+05  4.7660611e+02
   3.000e+01    1.0587875e+05  4.7260960e+02
   1.000e+00    1.0553393e+05  4.7230127e+02
   2.700e+01    1.0539218e+05  4.7217476e+02
   2.000e+00    1.0508000e+05  4.7189661e+02
   2.400e+01    1.0539991e+05  4.7218166e+02
   3.000e+00    1.0525059e+05  4.7204852e+02
   2.100e+01    1.0573715e+05  4.7248290e+02
   4.000e+00    1.0547421e+05  4.7224796e+02
   1.800e+01    1.0595938e+05  4.7268182e+02
   5.000e+00    1.0545565e+05  4.7223139e+02
   1.500e+01    1.0537491e+05  4.7215935e+02
   6.000e+00    1.0549342e+05  4.7226510e+02
   1.200e+01    1.0547941e+05  4.7225259e+02
   7.000e+00    1.0542542e+05  4.7220442e+02
   1.000e+01    1.0540257e+05  4.7218402e+02
   8.000e+00    1.0557444e+05  4.7233746e+02
   4.000e+00    1.0553200e+05  4.7229955e+02
   1.000e+00    1.0533281e+05  4.7212180e+02
   2.700e+01    1.0556733e+05  4.7233110e+02
