#
#       Peak Name  Overlap_group
#         162N-HN             20
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   120.618     7.171
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2061932e+02  6.6157813e-05 
# w1(Hz)        1.0175147e+01  9.4231710e-03 
# g1            9.3967449e-01  4.5216536e-03 
# f02(ppm)      7.1711541e+00  1.3820249e-05 
# w2(Hz)        2.0486665e+01  2.0249099e-02 
# g2            7.8597128e-01  4.1499238e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    7.7374237e+04  1.9393715e+02
   2.400e+01    6.1863429e+04  1.7425904e+02
   2.000e+00    6.2348448e+04  1.7484374e+02
   2.000e+01    6.1686749e+04  1.7405406e+02
   4.000e+00    6.2207444e+04  1.7466722e+02
   1.800e+01    6.1759452e+04  1.7413666e+02
   6.000e+00    6.1790201e+04  1.7418106e+02
   1.600e+01    6.1746061e+04  1.7412118e+02
   8.000e+00    6.1715735e+04  1.7409613e+02
   1.400e+01    6.1792673e+04  1.7417125e+02
   1.000e+01    6.1740752e+04  1.7410974e+02
   1.200e+01    6.2177904e+04  1.7461276e+02
   2.000e+00    6.1425428e+04  1.7376614e+02
   8.000e+00    6.1656914e+04  1.7401875e+02
   1.600e+01    6.1881039e+04  1.7428357e+02
