#
#       Peak Name  Overlap_group
#          23N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   107.886     7.774
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.0788397e+02  8.8316486e-05 
# w1(Hz)        9.9423909e+00  1.2783532e-02 
# g1            8.6937768e-01  5.7018551e-03 
# f02(ppm)      7.7736201e+00  2.2039080e-05 
# w2(Hz)        2.3827006e+01  3.4177582e-02 
# g2            6.5011200e-01  5.4679825e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    6.9138832e+04  2.2188045e+02
   2.400e+01    5.2623554e+04  1.9608762e+02
   2.000e+00    5.2503072e+04  1.9590704e+02
   2.000e+01    5.2630080e+04  1.9608727e+02
   4.000e+00    5.2512047e+04  1.9592843e+02
   1.800e+01    5.2711891e+04  1.9621055e+02
   6.000e+00    5.2056875e+04  1.9527124e+02
   1.600e+01    5.2413020e+04  1.9577990e+02
   8.000e+00    5.2231208e+04  1.9552169e+02
   1.400e+01    5.2261575e+04  1.9555182e+02
   1.000e+01    5.2829791e+04  1.9639791e+02
   1.200e+01    5.2554554e+04  1.9599204e+02
   2.000e+00    5.2388914e+04  1.9574008e+02
   8.000e+00    5.2266356e+04  1.9557030e+02
   1.600e+01    5.2687886e+04  1.9617566e+02
