#
#       Peak Name  Overlap_group
#          33N-HN              9
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   126.854     9.018
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2685428e+02  1.7748068e-04 
# w1(Hz)        1.2271457e+01  2.3918237e-02 
# g1            7.4712967e-01  7.4072960e-03 
# f02(ppm)      9.0174524e+00  3.6456646e-05 
# w2(Hz)        2.6537551e+01  5.2829155e-02 
# g2            6.1494642e-01  8.4271474e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    5.4413129e+04  2.6214690e+02
   2.400e+01    3.7266926e+04  2.0937825e+02
   2.000e+00    3.7750485e+04  2.1063853e+02
   2.000e+01    3.7025886e+04  2.0882697e+02
   4.000e+00    3.6875875e+04  2.0822408e+02
   1.800e+01    3.7008694e+04  2.0876891e+02
   6.000e+00    3.6989113e+04  2.0860210e+02
   1.600e+01    3.7086836e+04  2.0895540e+02
   8.000e+00    3.7061081e+04  2.0881440e+02
   1.400e+01    3.7317808e+04  2.0952224e+02
   1.000e+01    3.7013551e+04  2.0874972e+02
   1.200e+01    3.7422948e+04  2.0980465e+02
   2.000e+00    3.7422642e+04  2.0970973e+02
   8.000e+00    3.6999104e+04  2.0865168e+02
   1.600e+01    3.6759162e+04  2.0802015e+02
