#
#       Peak Name  Overlap_group
#           6N-HN              1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.743     7.925
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1974884e+02  2.4434161e-04 
# w1(Hz)        1.1216646e+01  3.6663794e-02 
# g1            5.9671635e-01  1.1562780e-02 
# f02(ppm)      7.9251685e+00  5.1341912e-05 
# w2(Hz)        2.3458460e+01  8.6162759e-02 
# g2            3.6539143e-01  1.1028031e-02 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    7.2500834e+04  5.2313686e+02
   2.400e+01    5.2289144e+04  4.4700522e+02
   2.000e+00    5.2563249e+04  4.4800573e+02
   2.000e+01    5.2614799e+04  4.4811471e+02
   4.000e+00    5.2740237e+04  4.4847724e+02
   1.800e+01    5.2893244e+04  4.4894249e+02
   6.000e+00    5.3432310e+04  4.5076393e+02
   1.600e+01    5.3048257e+04  4.4944272e+02
   8.000e+00    5.2599090e+04  4.4791515e+02
   1.400e+01    5.3168952e+04  4.4988568e+02
   1.000e+01    5.2607888e+04  4.4801582e+02
   1.200e+01    5.2675234e+04  4.4833212e+02
   2.000e+00    5.2795849e+04  4.4874730e+02
   8.000e+00    5.2605095e+04  4.4801756e+02
   1.600e+01    5.3245881e+04  4.5015735e+02
