#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.5613338e+04  2.4238344e+02
   2.400e+01    4.9423003e+04  2.1393466e+02
   2.000e+00    4.7721148e+04  2.1123411e+02
   2.000e+01    4.8940819e+04  2.1315666e+02
   4.000e+00    4.8222905e+04  2.1201687e+02
   1.800e+01    4.8999146e+04  2.1325389e+02
   6.000e+00    4.8770941e+04  2.1287872e+02
   1.600e+01    4.8977766e+04  2.1321342e+02
   8.000e+00    4.8765843e+04  2.1287010e+02
   1.400e+01    4.8767580e+04  2.1288623e+02
   1.000e+01    4.8754207e+04  2.1285555e+02
   1.200e+01    4.9112202e+04  2.1342975e+02
   2.000e+00    4.7263386e+04  2.1051504e+02
   8.000e+00    4.8695379e+04  2.1275987e+02
   1.600e+01    4.9099772e+04  2.1341960e+02
