#
#       Peak Name  Overlap_group
#         139N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   118.525     7.771
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1836090e+02  3.3372199e-04 
# w1(Hz)        1.0174836e+01  4.5414142e-02 
# g1           -1.5926746e+00  6.0194182e-03 
# f02(ppm)      7.7784227e+00  1.1462520e-04 
# w2(Hz)        2.6889778e+01  2.8547483e-01 
# g2            6.3803839e-01  4.1219069e-02 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    3.8299778e+05  7.5128323e+03
   2.400e+01    2.7377798e+05  6.6737516e+03
   2.000e+00    2.4432480e+05  6.4810262e+03
   2.200e+01    2.7186675e+05  6.6604138e+03
   4.000e+00    2.4907900e+05  6.5108695e+03
   2.000e+01    2.6974832e+05  6.6465897e+03
   6.000e+00    2.5358065e+05  6.5397962e+03
   1.800e+01    2.6735229e+05  6.6302258e+03
   8.000e+00    2.5593362e+05  6.5551390e+03
   1.600e+01    2.6713091e+05  6.6286485e+03
   1.000e+01    2.6010433e+05  6.5820581e+03
   1.400e+01    2.6270844e+05  6.5995777e+03
   1.200e+01    2.6077720e+05  6.5868040e+03
   4.000e+00    2.4893878e+05  6.5100794e+03
   1.600e+01    2.6568598e+05  6.6189383e+03
