#
#       Peak Name  Overlap_group
#          14N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   127.433     8.163
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2743188e+02  3.8692427e-05 
# w1(Hz)        1.4155043e+01  8.6565387e-03 
# g1            1.0759683e+00  3.3186403e-03 
# f02(ppm)      8.1631666e+00  7.7907252e-06 
# w2(Hz)        2.6124946e+01  1.9998391e-02 
# g2            4.8517127e-01  2.2783581e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    1.4746900e+05  2.3797714e+02
   2.400e+01    1.1337694e+05  2.1158059e+02
   2.000e+00    1.1267218e+05  2.1108496e+02
   2.200e+01    1.1334445e+05  2.1156998e+02
   4.000e+00    1.1259944e+05  2.1102937e+02
   2.000e+01    1.1342644e+05  2.1162834e+02
   6.000e+00    1.1216963e+05  2.1073625e+02
   1.800e+01    1.1223533e+05  2.1076618e+02
   8.000e+00    1.1236425e+05  2.1085864e+02
   1.600e+01    1.1305524e+05  2.1135518e+02
   1.000e+01    1.1183505e+05  2.1049336e+02
   1.400e+01    1.1338947e+05  2.1159544e+02
   1.200e+01    1.1243021e+05  2.1091297e+02
   4.000e+00    1.1208745e+05  2.1066743e+02
   1.600e+01    1.1274672e+05  2.1113656e+02
