#
#       Peak Name  Overlap_group
#         156N-HN              7
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   112.397     8.446
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1239759e+02  8.5773318e-05 
# w1(Hz)        1.3943531e+01  1.8773472e-02 
# g1            1.1826585e+00  7.9907994e-03 
# f02(ppm)      8.4463352e+00  1.6159112e-05 
# w2(Hz)        2.4058136e+01  4.0246482e-02 
# g2            5.5723469e-01  5.4299112e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    1.5108699e+05  5.6027642e+02
   2.400e+01    1.1291555e+05  4.8756094e+02
   2.000e+00    1.0995272e+05  4.8243506e+02
   2.200e+01    1.1286506e+05  4.8747472e+02
   4.000e+00    1.1100579e+05  4.8424404e+02
   2.000e+01    1.1257579e+05  4.8696331e+02
   6.000e+00    1.1038251e+05  4.8317845e+02
   1.800e+01    1.1261630e+05  4.8704899e+02
   8.000e+00    1.1146763e+05  4.8505250e+02
   1.600e+01    1.1278152e+05  4.8733037e+02
   1.000e+01    1.1177947e+05  4.8558664e+02
   1.400e+01    1.1246762e+05  4.8679085e+02
   1.200e+01    1.1191519e+05  4.8581636e+02
   4.000e+00    1.1043269e+05  4.8326215e+02
   1.600e+01    1.1304040e+05  4.8778569e+02
