#
#       Peak Name  Overlap_group
#         157N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   108.964     7.560
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.0896615e+02  6.6277519e-05 
# w1(Hz)        1.3590460e+01  1.4424323e-02 
# g1            1.2202163e+00  6.4308276e-03 
# f02(ppm)      7.5598705e+00  1.2337351e-05 
# w2(Hz)        2.3664882e+01  2.9273967e-02 
# g2            7.1141185e-01  4.6428704e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    1.6872391e+05  5.1272280e+02
   2.400e+01    1.3219196e+05  4.5648126e+02
   2.000e+00    1.3104101e+05  4.5482327e+02
   2.200e+01    1.3223407e+05  4.5653878e+02
   4.000e+00    1.3101468e+05  4.5479408e+02
   2.000e+01    1.3229042e+05  4.5661818e+02
   6.000e+00    1.3081643e+05  4.5450641e+02
   1.800e+01    1.3185912e+05  4.5599479e+02
   8.000e+00    1.3033458e+05  4.5381270e+02
   1.600e+01    1.3165448e+05  4.5570401e+02
   1.000e+01    1.3170772e+05  4.5579771e+02
   1.400e+01    1.3209893e+05  4.5633966e+02
   1.200e+01    1.3122006e+05  4.5508425e+02
   4.000e+00    1.3134646e+05  4.5527913e+02
   1.600e+01    1.3158106e+05  4.5560413e+02
