#
#       Peak Name  Overlap_group
#          40N-HN             12
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   117.578     8.260
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1758225e+02  2.2358340e-04 
# w1(Hz)        1.4240191e+01  4.6585023e-02 
# g1            1.2632043e+00  2.9090297e-02 
# f02(ppm)      8.2604954e+00  3.1019781e-05 
# w2(Hz)        2.0338189e+01  7.1810286e-02 
# g2            7.9608697e-01  1.4197484e-02 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    1.8019633e+05  2.2039503e+03
   2.400e+01    1.4138725e+05  1.8531277e+03
   2.000e+00    1.4133494e+05  1.8491896e+03
   2.200e+01    1.4167656e+05  1.8545988e+03
   4.000e+00    1.4231623e+05  1.8576427e+03
   2.000e+01    1.4135782e+05  1.8527482e+03
   6.000e+00    1.4152143e+05  1.8525731e+03
   1.800e+01    1.4083171e+05  1.8486637e+03
   8.000e+00    1.4144880e+05  1.8518616e+03
   1.600e+01    1.4066246e+05  1.8468104e+03
   1.000e+01    1.4149168e+05  1.8524771e+03
   1.400e+01    1.4037501e+05  1.8439676e+03
   1.200e+01    1.4124871e+05  1.8506093e+03
   4.000e+00    1.4163579e+05  1.8525615e+03
   1.600e+01    1.4104315e+05  1.8498333e+03
