#
#       Peak Name  Overlap_group
#         147N-HN             11
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.704     8.317
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1668948e+02  1.9794520e-04 
# w1(Hz)        1.7417074e+01  4.4447379e-02 
# g1            7.4006590e-01  1.3362567e-02 
# f02(ppm)      8.3178876e+00  2.7365214e-05 
# w2(Hz)        2.6742215e+01  7.1587830e-02 
# g2            4.5725789e-01  8.1659595e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.6042820e+04  4.6404474e+02
   3.600e+01    3.0476859e+04  2.5223648e+02
   1.000e+00    2.6084159e+04  2.3775960e+02
   3.300e+01    3.0370250e+04  2.5186262e+02
   2.000e+00    2.6295551e+04  2.3842924e+02
   3.000e+01    3.0602539e+04  2.5273820e+02
   3.000e+00    2.6368391e+04  2.3861705e+02
   2.700e+01    3.0093603e+04  2.5095026e+02
   4.000e+00    2.6114578e+04  2.3765213e+02
   2.400e+01    3.0034905e+04  2.5072566e+02
   6.000e+00    2.6380719e+04  2.3846784e+02
   2.100e+01    2.9707231e+04  2.4955000e+02
   8.000e+00    2.6473988e+04  2.3880331e+02
   1.800e+01    2.8900125e+04  2.4672005e+02
   1.000e+01    2.7149635e+04  2.4095335e+02
   1.600e+01    2.8459497e+04  2.4531181e+02
   1.200e+01    2.7822041e+04  2.4318802e+02
   1.400e+01    2.8112953e+04  2.4412987e+02
   8.000e+00    2.6697618e+04  2.3954000e+02
   2.400e+01    2.9643261e+04  2.4926510e+02
