#
#       Peak Name  Overlap_group
#         155N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   129.041     8.179
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2908855e+02  7.6398616e-05 
# w1(Hz)        1.7115885e+01  1.9838196e-02 
# g1            5.4716824e-01  4.0298966e-03 
# f02(ppm)      8.1783018e+00  1.2037881e-05 
# w2(Hz)        2.6325784e+01  3.0992212e-02 
# g2            4.7549286e-01  3.5101778e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00   -7.1209027e+04  1.4052978e+02
   3.600e+01   -2.8545261e+04  9.2925001e+01
   1.000e+00   -2.7136595e+04  9.1816584e+01
   3.300e+01   -2.8313072e+04  9.2739077e+01
   2.000e+00   -2.8058954e+04  9.2538279e+01
   3.000e+01   -2.8350299e+04  9.2768790e+01
   3.000e+00   -2.8392355e+04  9.2803428e+01
   2.700e+01   -2.8282238e+04  9.2715315e+01
   4.000e+00   -2.8258920e+04  9.2695449e+01
   2.400e+01   -2.8370463e+04  9.2785761e+01
   6.000e+00   -2.8035358e+04  9.2519259e+01
   2.100e+01   -2.8221893e+04  9.2666291e+01
   8.000e+00   -2.8207157e+04  9.2655855e+01
   1.800e+01   -2.8057640e+04  9.2535773e+01
   1.000e+01   -2.8152572e+04  9.2611021e+01
   1.600e+01   -2.8412028e+04  9.2817990e+01
   1.200e+01   -2.7928939e+04  9.2435929e+01
   1.400e+01   -2.8181685e+04  9.2634740e+01
   8.000e+00   -2.8082694e+04  9.2555856e+01
   2.400e+01   -2.8122210e+04  9.2586374e+01
