#
#       Peak Name  Overlap_group
#          25N-HN              6
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   123.175     8.762
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2315757e+02  2.8436485e-04 
# w1(Hz)        1.6857926e+01  6.6844947e-02 
# g1            6.0419981e-01  1.3873823e-02 
# f02(ppm)      8.7619518e+00  4.1291166e-05 
# w2(Hz)        2.5789786e+01  1.0899772e-01 
# g2            4.0882493e-01  1.3217057e-02 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.6204163e+04  5.7981758e+02
   3.600e+01    2.8039136e+04  3.3481052e+02
   1.000e+00    2.8659246e+04  3.3483852e+02
   3.300e+01    2.7971883e+04  3.3460372e+02
   2.000e+00    2.8740567e+04  3.3530865e+02
   3.000e+01    2.8048973e+04  3.3471767e+02
   3.000e+00    2.8089537e+04  3.3298380e+02
   2.700e+01    2.7579457e+04  3.3296449e+02
   4.000e+00    2.8307446e+04  3.3388174e+02
   2.400e+01    2.7384871e+04  3.3206541e+02
   6.000e+00    2.7805732e+04  3.3222138e+02
   2.100e+01    2.7346010e+04  3.3179539e+02
   8.000e+00    2.7833968e+04  3.3255444e+02
   1.800e+01    2.7645469e+04  3.3252587e+02
   1.000e+01    2.7850094e+04  3.3282052e+02
   1.600e+01    2.7426568e+04  3.3169199e+02
   1.200e+01    2.7537158e+04  3.3177263e+02
   1.400e+01    2.7922481e+04  3.3318504e+02
   8.000e+00    2.8133981e+04  3.3353220e+02
   2.400e+01    2.7555363e+04  3.3267352e+02
