#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    5.9156023e+04  1.2662719e+02
   3.600e+01    2.0718645e+04  7.7668467e+01
   1.000e+00    1.9608046e+04  7.6723591e+01
   3.300e+01    2.0810183e+04  7.7750214e+01
   2.000e+00    2.0213724e+04  7.7233265e+01
   3.000e+01    2.0448757e+04  7.7436711e+01
   3.000e+00    2.0726852e+04  7.7677067e+01
   2.700e+01    2.0621908e+04  7.7587697e+01
   4.000e+00    2.0485473e+04  7.7471844e+01
   2.400e+01    2.0429106e+04  7.7420023e+01
   6.000e+00    2.0242286e+04  7.7257229e+01
   2.100e+01    2.0607996e+04  7.7572358e+01
   8.000e+00    1.9972698e+04  7.7026150e+01
   1.800e+01    2.0557258e+04  7.7528944e+01
   1.000e+01    1.9790202e+04  7.6879243e+01
   1.600e+01    2.0387363e+04  7.7383142e+01
   1.200e+01    2.0138798e+04  7.7178336e+01
   1.400e+01    2.0242411e+04  7.7260421e+01
   8.000e+00    2.0521312e+04  7.7500967e+01
   2.400e+01    2.0644793e+04  7.7606944e+01
