#
#       Peak Name  Overlap_group
#          82N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   128.023     8.871
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2801278e+02  5.6905662e-05 
# w1(Hz)        1.5677922e+01  1.4183640e-02 
# g1            6.4603870e-01  3.3539533e-03 
# f02(ppm)      8.8716285e+00  8.5840871e-06 
# w2(Hz)        2.2674393e+01  2.1954301e-02 
# g2            4.8032128e-01  2.8323619e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.8985096e+04  1.4732070e+02
   3.600e+01    3.8158306e+04  1.0238814e+02
   1.000e+00    3.8932195e+04  1.0289557e+02
   3.300e+01    3.8210762e+04  1.0242582e+02
   2.000e+00    3.9032951e+04  1.0296469e+02
   3.000e+01    3.8148404e+04  1.0238451e+02
   3.000e+00    3.9124691e+04  1.0302313e+02
   2.700e+01    3.7980595e+04  1.0227749e+02
   4.000e+00    3.8213385e+04  1.0242262e+02
   2.400e+01    3.8685855e+04  1.0273373e+02
   6.000e+00    3.8457133e+04  1.0258197e+02
   2.100e+01    3.7937781e+04  1.0224716e+02
   8.000e+00    3.8794376e+04  1.0279991e+02
   1.800e+01    3.8278410e+04  1.0247447e+02
   1.000e+01    3.8887419e+04  1.0286450e+02
   1.600e+01    3.8346970e+04  1.0251106e+02
   1.200e+01    3.8394555e+04  1.0254582e+02
   1.400e+01    3.7901410e+04  1.0222539e+02
   8.000e+00    3.8766481e+04  1.0278468e+02
   2.400e+01    3.8479289e+04  1.0260043e+02
