# Offset (Hz)  Intensity       Uncertainty
  -1.500e+05    3.5414010e+02  3.3203340e+00
  -1.280e+03    1.4536580e+02  1.9236568e+00
  -1.250e+03    1.4423266e+02  1.9176570e+00
  -1.220e+03    1.4450193e+02  1.9190801e+00
  -1.190e+03    1.4452699e+02  1.9192127e+00
  -1.160e+03    1.4335393e+02  1.9130236e+00
  -1.130e+03    1.4451842e+02  1.9191674e+00
  -1.100e+03    1.4622898e+02  1.9282461e+00
  -1.070e+03    1.4238995e+02  1.9079606e+00
  -1.040e+03    1.4466300e+02  1.9199322e+00
  -1.010e+03    1.4614713e+02  1.9278102e+00
  -9.800e+02    1.4358018e+02  1.9142150e+00
  -9.500e+02    1.4443365e+02  1.9187191e+00
  -9.200e+02    1.4489069e+02  1.9211377e+00
  -8.900e+02    1.4470687e+02  1.9201643e+00
  -8.600e+02    1.4478403e+02  1.9205729e+00
  -8.300e+02    1.4441781e+02  1.9186353e+00
  -8.000e+02    1.4498447e+02  1.9216345e+00
  -7.700e+02    1.4379282e+02  1.9153356e+00
  -7.400e+02    1.4474685e+02  1.9203760e+00
  -7.100e+02    1.4275209e+02  1.9098602e+00
  -6.800e+02    1.4498089e+02  1.9216156e+00
  -6.500e+02    1.4534841e+02  1.9235645e+00
  -6.200e+02    1.4337761e+02  1.9131483e+00
  -5.900e+02    1.4293420e+02  1.9108166e+00
  -5.600e+02    1.4416227e+02  1.9172851e+00
  -5.300e+02    1.4307583e+02  1.9115609e+00
  -5.000e+02    1.4762766e+02  1.9357167e+00
  -4.700e+02    1.4736165e+02  1.9342927e+00
  -4.400e+02    1.4483270e+02  1.9208305e+00
  -4.100e+02    1.4406264e+02  1.9167591e+00
  -3.800e+02    1.4562432e+02  1.9250295e+00
  -3.500e+02    1.4351943e+02  1.9138950e+00
  -3.200e+02    1.4675851e+02  1.9310694e+00
  -2.900e+02    1.4513239e+02  1.9224186e+00
  -2.600e+02    1.4603601e+02  1.9272187e+00
  -2.300e+02    1.4361403e+02  1.9143933e+00
  -2.000e+02    1.4522866e+02  1.9229292e+00
  -1.700e+02    1.4510084e+02  1.9222513e+00
  -1.400e+02    1.4325781e+02  1.9125179e+00
  -1.100e+02    1.4282093e+02  1.9102217e+00
