#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    3.0627970e+04  3.8404100e+02
  -2.108e+03    1.2894380e+04  3.8404100e+02
  -2.078e+03    1.2508460e+04  3.8404100e+02
  -2.048e+03    1.2912750e+04  3.8404100e+02
  -2.018e+03    1.2327760e+04  3.8404100e+02
  -1.988e+03    1.2483960e+04  3.8404100e+02
  -1.958e+03    1.2324700e+04  3.8404100e+02
  -1.928e+03    1.2462520e+04  3.8404100e+02
  -1.898e+03    1.2373700e+04  3.8404100e+02
  -1.868e+03    1.2312440e+04  3.8404100e+02
  -1.838e+03    1.1951030e+04  3.8404100e+02
  -1.808e+03    1.2370640e+04  3.8404100e+02
  -1.778e+03    1.2404330e+04  3.8404100e+02
  -1.748e+03    1.2205250e+04  3.8404100e+02
  -1.718e+03    1.2392080e+04  3.8404100e+02
  -1.688e+03    1.2242000e+04  3.8404100e+02
  -1.658e+03    1.2128680e+04  3.8404100e+02
  -1.628e+03    1.2217500e+04  3.8404100e+02
  -1.598e+03    1.1932660e+04  3.8404100e+02
  -1.568e+03    1.1736640e+04  3.8404100e+02
  -1.538e+03    1.1381350e+04  3.8404100e+02
  -1.508e+03    1.0814740e+04  3.8404100e+02
  -1.478e+03    9.9479650e+03  3.8404100e+02
  -1.448e+03    7.9785860e+03  3.8404100e+02
  -1.418e+03    4.7565240e+03  3.8404100e+02
  -1.388e+03    2.6768850e+03  3.8404100e+02
  -1.358e+03    1.6753500e+03  3.8404100e+02
  -1.328e+03    3.1240530e+03  3.8404100e+02
  -1.298e+03    5.8040000e+03  3.8404100e+02
  -1.268e+03    8.8239180e+03  3.8404100e+02
  -1.238e+03    1.0248120e+04  3.8404100e+02
  -1.208e+03    1.1047510e+04  3.8404100e+02
  -1.178e+03    1.1748890e+04  3.8404100e+02
  -1.148e+03    1.1782580e+04  3.8404100e+02
  -1.118e+03    1.1932660e+04  3.8404100e+02
  -1.088e+03    1.1889780e+04  3.8404100e+02
  -1.058e+03    1.2165430e+04  3.8404100e+02
  -1.028e+03    1.2183810e+04  3.8404100e+02
  -9.980e+02    1.2245060e+04  3.8404100e+02
  -9.680e+02    1.2015350e+04  3.8404100e+02
  -9.380e+02    1.2134800e+04  3.8404100e+02
  -9.080e+02    1.2235870e+04  3.8404100e+02
  -8.780e+02    1.2419640e+04  3.8404100e+02
  -8.480e+02    1.2309380e+04  3.8404100e+02
  -8.180e+02    1.2220560e+04  3.8404100e+02
  -7.880e+02    1.2058230e+04  3.8404100e+02
  -7.580e+02    1.2165430e+04  3.8404100e+02
