#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05   -5.2160940e+04  1.4773640e+02
  -1.360e+03   -2.2246640e+04  1.4773640e+02
  -1.330e+03   -2.2486580e+04  1.4773640e+02
  -1.300e+03   -2.2178830e+04  1.4773640e+02
  -1.270e+03   -2.2429200e+04  1.4773640e+02
  -1.240e+03   -2.2126670e+04  1.4773640e+02
  -1.210e+03   -2.1678090e+04  1.4773640e+02
  -1.180e+03   -2.0827860e+04  1.4773640e+02
  -1.150e+03   -1.8835320e+04  1.4773640e+02
  -1.120e+03   -1.3932190e+04  1.4773640e+02
  -1.090e+03   -7.3338280e+03  1.4773640e+02
  -1.060e+03   -1.6847980e+03  1.4773640e+02
  -1.030e+03   -2.4202680e+03  1.4773640e+02
  -1.000e+03   -8.2205640e+03  1.4773640e+02
  -9.700e+02   -1.5585690e+04  1.4773640e+02
  -9.400e+02   -1.9325630e+04  1.4773640e+02
  -9.100e+02   -2.1062590e+04  1.4773640e+02
  -8.800e+02   -2.1798060e+04  1.4773640e+02
  -8.500e+02   -2.2397910e+04  1.4773640e+02
  -8.200e+02   -2.1938890e+04  1.4773640e+02
  -7.900e+02   -2.2277940e+04  1.4773640e+02
  -7.600e+02   -2.2413560e+04  1.4773640e+02
  -7.300e+02   -2.2622200e+04  1.4773640e+02
  -7.000e+02   -2.2298800e+04  1.4773640e+02
  -6.700e+02   -2.2757820e+04  1.4773640e+02
  -6.400e+02   -2.2726520e+04  1.4773640e+02
  -6.100e+02   -2.2669140e+04  1.4773640e+02
  -5.800e+02   -2.2590900e+04  1.4773640e+02
  -5.500e+02   -2.3039490e+04  1.4773640e+02
  -5.200e+02   -2.2476150e+04  1.4773640e+02
  -4.900e+02   -2.2632630e+04  1.4773640e+02
  -4.600e+02   -2.2961250e+04  1.4773640e+02
  -4.300e+02   -2.2570040e+04  1.4773640e+02
  -4.000e+02   -2.2429200e+04  1.4773640e+02
  -3.700e+02   -2.2825630e+04  1.4773640e+02
  -3.400e+02   -2.2585690e+04  1.4773640e+02
  -3.100e+02   -2.2794330e+04  1.4773640e+02
  -2.800e+02   -2.2674360e+04  1.4773640e+02
  -2.500e+02   -2.2679580e+04  1.4773640e+02
  -2.200e+02   -2.2945600e+04  1.4773640e+02
  -1.900e+02   -2.2935170e+04  1.4773640e+02
  -1.600e+02   -2.2669140e+04  1.4773640e+02
  -1.300e+02   -2.2669140e+04  1.4773640e+02
  -1.000e+02   -2.2570040e+04  1.4773640e+02
  -7.000e+01   -2.2752600e+04  1.4773640e+02
  -4.000e+01   -2.3002970e+04  1.4773640e+02
  -1.000e+01   -2.3211620e+04  1.4773640e+02
   2.000e+01   -2.2783900e+04  1.4773640e+02
   5.000e+01   -2.2945600e+04  1.4773640e+02
   8.000e+01   -2.3357670e+04  1.4773640e+02
   1.100e+02   -2.2820410e+04  1.4773640e+02
   1.400e+02   -2.2616980e+04  1.4773640e+02
   1.700e+02   -2.2575250e+04  1.4773640e+02
   2.000e+02   -2.2549170e+04  1.4773640e+02
   2.300e+02   -2.2157970e+04  1.4773640e+02
   2.600e+02   -2.2517880e+04  1.4773640e+02
   2.900e+02   -2.2877790e+04  1.4773640e+02
   3.200e+02   -2.2903870e+04  1.4773640e+02
   3.500e+02   -2.2809980e+04  1.4773640e+02
   3.800e+02   -2.2653500e+04  1.4773640e+02
   4.100e+02   -2.2992540e+04  1.4773640e+02
   4.400e+02   -2.2956030e+04  1.4773640e+02
   4.700e+02   -2.2497010e+04  1.4773640e+02
   5.000e+02   -2.2580470e+04  1.4773640e+02
   5.300e+02   -2.2825630e+04  1.4773640e+02
   5.600e+02   -2.2888220e+04  1.4773640e+02
   5.900e+02   -2.3018620e+04  1.4773640e+02
   6.200e+02   -2.2836060e+04  1.4773640e+02
   6.500e+02   -2.2783900e+04  1.4773640e+02
   6.800e+02   -2.2862140e+04  1.4773640e+02
   7.100e+02   -2.3133380e+04  1.4773640e+02
   7.400e+02   -2.2961250e+04  1.4773640e+02
   7.700e+02   -2.2815200e+04  1.4773640e+02
   8.000e+02   -2.3138590e+04  1.4773640e+02
   8.300e+02   -2.2898650e+04  1.4773640e+02
   8.600e+02   -2.2830840e+04  1.4773640e+02
   8.900e+02   -2.2157970e+04  1.4773640e+02
   9.200e+02   -2.2789110e+04  1.4773640e+02
   9.500e+02   -2.2736950e+04  1.4773640e+02
   9.800e+02   -2.2528310e+04  1.4773640e+02
   1.010e+03   -2.2815200e+04  1.4773640e+02
   1.040e+03   -2.2731740e+04  1.4773640e+02
   1.070e+03   -2.2512660e+04  1.4773640e+02
   1.100e+03   -2.2778680e+04  1.4773640e+02
   1.130e+03   -2.2648280e+04  1.4773640e+02
   1.160e+03   -2.2721310e+04  1.4773640e+02
   1.190e+03   -2.2924730e+04  1.4773640e+02
   1.220e+03   -2.2950810e+04  1.4773640e+02
   1.250e+03   -2.3008190e+04  1.4773640e+02
   1.280e+03   -2.3049920e+04  1.4773640e+02
   1.310e+03   -2.3018620e+04  1.4773640e+02
   1.340e+03   -2.2820410e+04  1.4773640e+02
   1.370e+03   -2.2982110e+04  1.4773640e+02
   1.400e+03   -2.2481370e+04  1.4773640e+02
   1.430e+03   -2.2789110e+04  1.4773640e+02
   1.460e+03   -2.2304020e+04  1.4773640e+02
   1.490e+03   -2.2695220e+04  1.4773640e+02
   1.520e+03   -2.2721310e+04  1.4773640e+02
   1.550e+03   -2.2768250e+04  1.4773640e+02
   1.580e+03   -2.2935170e+04  1.4773640e+02
