# Offset (Hz)      Intensity       Uncertainty
  -1.200000e+05    4.821981e+04    1.529184e+02
  -1.360000e+03    1.378604e+04    1.529184e+02
  -1.330000e+03    1.354494e+04    1.529184e+02
  -1.300000e+03    1.313025e+04    1.529184e+02
  -1.270000e+03    1.307239e+04    1.529184e+02
  -1.240000e+03    1.288433e+04    1.529184e+02
  -1.210000e+03    1.310132e+04    1.529184e+02
  -1.180000e+03    1.348708e+04    1.529184e+02
  -1.150000e+03    1.367514e+04    1.529184e+02
  -1.120000e+03    1.366067e+04    1.529184e+02
  -1.090000e+03    1.369443e+04    1.529184e+02
  -1.060000e+03    1.329902e+04    1.529184e+02
  -1.030000e+03    1.338100e+04    1.529184e+02
  -1.000000e+03    1.288433e+04    1.529184e+02
  -9.700000e+02    1.307239e+04    1.529184e+02
  -9.400000e+02    1.289398e+04    1.529184e+02
  -9.100000e+02    1.346297e+04    1.529184e+02
  -8.800000e+02    1.328938e+04    1.529184e+02
  -8.500000e+02    1.322187e+04    1.529184e+02
  -8.200000e+02    1.302899e+04    1.529184e+02
  -7.900000e+02    1.330385e+04    1.529184e+02
  -7.600000e+02    1.302899e+04    1.529184e+02
  -7.300000e+02    1.327009e+04    1.529184e+02
  -7.000000e+02    1.298077e+04    1.529184e+02
  -6.700000e+02    1.316401e+04    1.529184e+02
  -6.400000e+02    1.338582e+04    1.529184e+02
  -6.100000e+02    1.291809e+04    1.529184e+02
  -5.800000e+02    1.316401e+04    1.529184e+02
  -5.500000e+02    1.323152e+04    1.529184e+02
  -5.200000e+02    1.294702e+04    1.529184e+02
  -4.900000e+02    1.310614e+04    1.529184e+02
  -4.600000e+02    1.336653e+04    1.529184e+02
  -4.300000e+02    1.274450e+04    1.529184e+02
  -4.000000e+02    1.339546e+04    1.529184e+02
  -3.700000e+02    1.301453e+04    1.529184e+02
  -3.400000e+02    1.306275e+04    1.529184e+02
  -3.100000e+02    1.318812e+04    1.529184e+02
  -2.800000e+02    1.337135e+04    1.529184e+02
  -2.500000e+02    1.340511e+04    1.529184e+02
  -2.200000e+02    1.307721e+04    1.529184e+02
  -1.900000e+02    1.298559e+04    1.529184e+02
  -1.600000e+02    1.284576e+04    1.529184e+02
  -1.300000e+02    1.319776e+04    1.529184e+02
  -1.000000e+02    1.337135e+04    1.529184e+02
  -7.000000e+01    1.290844e+04    1.529184e+02
  -4.000000e+01    1.294220e+04    1.529184e+02
  -1.000000e+01    1.325080e+04    1.529184e+02
   2.000000e+01    1.279272e+04    1.529184e+02
   5.000000e+01    1.300970e+04    1.529184e+02
   8.000000e+01    1.293255e+04    1.529184e+02
   1.100000e+02    1.308203e+04    1.529184e+02
   1.400000e+02    1.305310e+04    1.529184e+02
   1.700000e+02    1.313025e+04    1.529184e+02
   2.000000e+02    1.278307e+04    1.529184e+02
   2.300000e+02    1.291327e+04    1.529184e+02
   2.600000e+02    1.296631e+04    1.529184e+02
   2.900000e+02    1.308203e+04    1.529184e+02
   3.200000e+02    1.315919e+04    1.529184e+02
   3.500000e+02    1.325563e+04    1.529184e+02
   3.800000e+02    1.281683e+04    1.529184e+02
   4.100000e+02    1.286505e+04    1.529184e+02
   4.400000e+02    1.307721e+04    1.529184e+02
   4.700000e+02    1.322187e+04    1.529184e+02
   5.000000e+02    1.304828e+04    1.529184e+02
   5.300000e+02    1.325563e+04    1.529184e+02
   5.600000e+02    1.309650e+04    1.529184e+02
   5.900000e+02    1.315919e+04    1.529184e+02
   6.200000e+02    1.275414e+04    1.529184e+02
   6.500000e+02    1.245518e+04    1.529184e+02
   6.800000e+02    1.253715e+04    1.529184e+02
   7.100000e+02    1.257573e+04    1.529184e+02
   7.400000e+02    1.176563e+04    1.529184e+02
   7.700000e+02    1.070480e+04    1.529184e+02
   8.000000e+02    8.125038e+03    1.529184e+02
   8.300000e+02    6.610936e+03    1.529184e+02
   8.600000e+02    7.334233e+03    1.529184e+02
   8.900000e+02    9.200340e+03    1.529184e+02
   9.200000e+02    1.044923e+04    1.529184e+02
   9.500000e+02    1.133648e+04    1.529184e+02
   9.800000e+02    1.136059e+04    1.529184e+02
   1.010000e+03    1.168848e+04    1.529184e+02
   1.040000e+03    1.160169e+04    1.529184e+02
   1.070000e+03    1.144256e+04    1.529184e+02
   1.100000e+03    1.125450e+04    1.529184e+02
   1.130000e+03    1.084946e+04    1.529184e+02
   1.160000e+03    9.595742e+03    1.529184e+02
   1.190000e+03    7.551222e+03    1.529184e+02
   1.220000e+03    4.624280e+03    1.529184e+02
   1.250000e+03    1.234427e+03    1.529184e+02
   1.280000e+03    3.086068e+02    1.529184e+02
   1.310000e+03    2.560472e+03    1.529184e+02
   1.340000e+03    6.446989e+03    1.529184e+02
   1.370000e+03    9.484837e+03    1.529184e+02
   1.400000e+03    1.075784e+04    1.529184e+02
   1.430000e+03    1.171259e+04    1.529184e+02
   1.460000e+03    1.223337e+04    1.529184e+02
   1.490000e+03    1.284576e+04    1.529184e+02
   1.520000e+03    1.260466e+04    1.529184e+02
   1.550000e+03    1.270110e+04    1.529184e+02
   1.580000e+03    1.285058e+04    1.529184e+02
   1.610000e+03    1.286022e+04    1.529184e+02
   1.640000e+03    1.264323e+04    1.529184e+02
