#Offset (Hz)        Intensity    Uncertainty
  -1.000e+05    7.5261729e+04  4.2537024e+02
  -7.500e+02    3.2808917e+04  2.2451462e+02
  -7.250e+02    3.1955546e+04  2.2185571e+02
  -7.000e+02    3.2421974e+04  2.2347105e+02
  -6.750e+02    3.2410296e+04  2.2378953e+02
  -6.500e+02    3.2380303e+04  2.2343312e+02
  -6.250e+02    3.2245109e+04  2.2284870e+02
  -6.000e+02    3.2307308e+04  2.2306443e+02
  -5.750e+02    3.2207713e+04  2.2299280e+02
  -5.500e+02    3.2218461e+04  2.2283063e+02
  -5.250e+02    3.1992287e+04  2.2203341e+02
  -5.000e+02    3.2229332e+04  2.2280973e+02
  -4.750e+02    3.2402638e+04  2.2348472e+02
  -4.500e+02    3.2106340e+04  2.2228227e+02
  -4.250e+02    3.2210796e+04  2.2264932e+02
  -4.000e+02    3.2092609e+04  2.2232308e+02
  -3.750e+02    3.1923510e+04  2.2176104e+02
  -3.500e+02    3.2022112e+04  2.2198670e+02
  -3.250e+02    3.1887460e+04  2.2132928e+02
  -3.000e+02    3.1895632e+04  2.2161767e+02
  -2.750e+02    3.1917810e+04  2.2180837e+02
  -2.500e+02    3.1454497e+04  2.2011897e+02
  -2.250e+02    3.1859435e+04  2.2155887e+02
  -2.000e+02    3.1550662e+04  2.2019117e+02
  -1.750e+02    3.1347111e+04  2.1956651e+02
  -1.500e+02    3.1411051e+04  2.1918836e+02
  -1.250e+02    3.1204511e+04  2.1867027e+02
  -1.000e+02    3.0912445e+04  2.1748487e+02
  -7.500e+01    3.0872588e+04  2.1721378e+02
  -5.000e+01    3.0219288e+04  2.1448854e+02
  -2.500e+01    2.9783790e+04  2.1282688e+02
   0.000e+00    2.8893145e+04  2.0958844e+02
   2.500e+01    2.7926495e+04  2.0580372e+02
   5.000e+01    2.6680961e+04  2.0090618e+02
   7.500e+01    2.4827326e+04  1.9407231e+02
   1.000e+02    2.1722959e+04  1.8317449e+02
   1.250e+02    1.6801097e+04  1.6749641e+02
   1.500e+02    9.4516070e+03  1.5025870e+02
   1.750e+02    1.7004568e+03  1.4211262e+02
   2.000e+02    1.9345525e+02  1.4182235e+02
   2.250e+02    1.9297385e+02  1.4182485e+02
   2.500e+02    3.5164720e+03  1.4332883e+02
   2.750e+02    9.9853933e+03  1.5257787e+02
   3.000e+02    1.3469587e+04  1.6176770e+02
   3.250e+02    1.6747340e+04  1.7128434e+02
   3.500e+02    2.2333613e+04  1.8738056e+02
   3.750e+02    2.5619684e+04  1.9815116e+02
   4.000e+02    2.8208364e+04  2.0683737e+02
   4.250e+02    2.8874565e+04  2.0960062e+02
   4.500e+02    2.9398699e+04  2.1171795e+02
   4.750e+02    3.0242067e+04  2.1478052e+02
   5.000e+02    3.0701317e+04  2.1661953e+02
   5.250e+02    3.1055382e+04  2.1821119e+02
   5.500e+02    3.1370458e+04  2.1937618e+02
   5.750e+02    3.1423075e+04  2.1963550e+02
   6.000e+02    3.1583252e+04  2.2030669e+02
   6.250e+02    3.1541925e+04  2.2007795e+02
   6.500e+02    3.1523264e+04  2.2022311e+02
   6.750e+02    3.1786561e+04  2.2145338e+02
   7.000e+02    3.1877552e+04  2.2161739e+02
   7.250e+02    3.1774274e+04  2.2097127e+02
   7.500e+02    3.2199365e+04  2.2279049e+02
