#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    2.9270150e+06  8.5940090e+03
  -7.500e+02    7.7156120e+05  8.5940090e+03
  -7.250e+02    7.2970480e+05  8.5940090e+03
  -7.000e+02    7.7858600e+05  8.5940090e+03
  -6.750e+02    7.5956040e+05  8.5940090e+03
  -6.500e+02    7.8063490e+05  8.5940090e+03
  -6.250e+02    7.7536630e+05  8.5940090e+03
  -6.000e+02    7.6453630e+05  8.5940090e+03
  -5.750e+02    7.7478090e+05  8.5940090e+03
  -5.500e+02    7.5663340e+05  8.5940090e+03
  -5.250e+02    7.4990120e+05  8.5940090e+03
  -5.000e+02    7.7946410e+05  8.5940090e+03
  -4.750e+02    7.5985310e+05  8.5940090e+03
  -4.500e+02    7.6863410e+05  8.5940090e+03
  -4.250e+02    7.7302470e+05  8.5940090e+03
  -4.000e+02    7.6951220e+05  8.5940090e+03
  -3.750e+02    8.0229480e+05  8.5940090e+03
  -3.500e+02    7.7243930e+05  8.5940090e+03
  -3.250e+02    7.7126850e+05  8.5940090e+03
  -3.000e+02    7.7536630e+05  8.5940090e+03
  -2.750e+02    7.7448820e+05  8.5940090e+03
  -2.500e+02    7.6687790e+05  8.5940090e+03
  -2.250e+02    7.5516990e+05  8.5940090e+03
  -2.000e+02    7.8444000e+05  8.5940090e+03
  -1.750e+02    7.5721880e+05  8.5940090e+03
  -1.500e+02    7.8092760e+05  8.5940090e+03
  -1.250e+02    7.6892680e+05  8.5940090e+03
  -1.000e+02    7.2794860e+05  8.5940090e+03
  -7.500e+01    7.5253560e+05  8.5940090e+03
  -5.000e+01    7.5721880e+05  8.5940090e+03
  -2.500e+01    7.5838960e+05  8.5940090e+03
   0.000e+00    7.6541440e+05  8.5940090e+03
   2.500e+01    7.3292460e+05  8.5940090e+03
   5.000e+01    6.9223900e+05  8.5940090e+03
   7.500e+01    5.8803730e+05  8.5940090e+03
   1.000e+02    4.1709960e+05  8.5940090e+03
   1.250e+02    1.9464650e+05  8.5940090e+03
   1.500e+02    5.2978970e+04  8.5940090e+03
   1.750e+02    9.9811210e+04  8.5940090e+03
   2.000e+02    1.6654720e+05  8.5940090e+03
   2.250e+02    1.5074130e+05  8.5940090e+03
   2.500e+02    7.4346180e+04  8.5940090e+03
   2.750e+02    8.7810450e+03  8.5940090e+03
   3.000e+02    8.4883430e+03  8.5940090e+03
   3.250e+02    5.6491390e+04  8.5940090e+03
   3.500e+02    3.0382420e+05  8.5940090e+03
   3.750e+02    5.2071600e+05  8.5940090e+03
   4.000e+02    6.0677020e+05  8.5940090e+03
   4.250e+02    7.0072740e+05  8.5940090e+03
   4.500e+02    6.9282450e+05  8.5940090e+03
   4.750e+02    7.3672970e+05  8.5940090e+03
   5.000e+02    7.2531430e+05  8.5940090e+03
   5.250e+02    7.3468080e+05  8.5940090e+03
   5.500e+02    7.5048660e+05  8.5940090e+03
   5.750e+02    7.6921950e+05  8.5940090e+03
   6.000e+02    7.5487720e+05  8.5940090e+03
   6.250e+02    7.7770790e+05  8.5940090e+03
   6.500e+02    7.4697420e+05  8.5940090e+03
   6.750e+02    7.7653710e+05  8.5940090e+03
   7.000e+02    7.7009760e+05  8.5940090e+03
   7.250e+02    7.6102390e+05  8.5940090e+03
   7.500e+02    7.6921950e+05  8.5940090e+03
